total_tokens,line_level_label,line_score,row
BoolOpt Set to the server the agents to enable support ,0.0,1.0,1
db engine url database db engine url host ,1.0,0.4429998879540549,2
db engine url database db engine url host ,0.0,0.4429998879540549,3
LOG debug <STR> % net [ <STR> ] ,1.0,0.19674082876709703,4
LOG debug <STR> net [ <STR> ] ,1.0,0.19674082876709703,5
GRE networks Requires kernel support OVS patch ports ,1.0,0.18818022539273746,6
self int_br add_flow priority = <NUM> ,1.0,0.18109453446715962,7
self int_br add_flow priority = <NUM> ,1.0,0.18109453446715962,8
cfg BoolOpt <STR> default = ,1.0,0.17926101276903114,9
q_exc InvalidInput error_message = msg ,1.0,0.16519887437340433,10
param enable_tunneling enable GRE networks ,0.0,0.15078089711673778,11
self assertFalse cfg CONF OVS enable_tunneling ,1.0,0.13917984825682184,12
self enable_tunneling = cfg CONF OVS enable_tunneling ,1.0,0.13917984825682184,13
enable_tunneling = cfg CONF OVS enable_tunneling ,1.0,0.13917984825682184,14
self assertTrue cfg CONF AGENT rpc ,0.0,0.13917984825682184,15
self patch_tun_ofport = self int_br add_patch_port <STR> ,1.0,0.13554110411427125,16
br = self int_br ,1.0,0.13554110411427125,17
self patch_tun_ofport = self int_br add_patch_port <STR> ,1.0,0.13554110411427125,18
br = self int_br ,1.0,0.13554110411427125,19
polling_interval reconnect_interval rpc enable_tunneling ,0.0,0.11971493982598935,20
polling_interval reconnect_interval rpc ,1.0,0.11971493982598935,21
tunnel_ips = x ip_address x db ovs_tunnel_ips ,0.0,0.10631993368950682,22
LOG debug <STR> % self tunnel_id_ranges ,1.0,0.09139307884332289,23
LOG debug <STR> % ,1.0,0.09139307884332289,24
LOG debug <STR> % self network_vlan_ranges ,1.0,0.09139307884332289,25
port vif_id ,0.0,0.07620413075648189,26
dl_dst = port vif_mac ,0.0,0.07620413075648189,27
dl_dst = port vif_mac ,0.0,0.07620413075648189,28
GRE tunneling ,1.0,0.0717849449755714,29
self manage_tunnels tunnel_ips old_tunnel_ips db ,1.0,0.06820009870754246,30
self manage_tunnels tunnel_ips old_tunnel_ips db ,0.0,0.06820009870754246,31
db ovs_tunnel_ips ,0.0,0.06820009870754246,32
self local_vlan_map [ new_net_uuid ] ,1.0,0.050198837067724496,33
self local_vlan_map [ new_net_uuid ] ,1.0,0.050198837067724496,34
actions = <STR> % ,1.0,0.05009728453849339,35
actions = <STR> % lvm vlan ,1.0,0.05009728453849339,36
actions = <STR> ,1.0,0.05009728453849339,37
actions = <STR> % segmentation_id ,1.0,0.05009728453849339,38
actions = <STR> ,1.0,0.05009728453849339,39
actions = <STR> % segmentation_id ,1.0,0.05009728453849339,40
actions = <STR> % lvid ,1.0,0.05009728453849339,41
actions = <STR> % lvid ,1.0,0.05009728453849339,42
actions = <STR> % ,1.0,0.05009728453849339,43
dl_dst = lvm vif_ports [ vif_id ] vif_mac ,0.0,0.04902806166419762,44
dl_dst = lvm vif_ports [ vif_id ] vif_mac ,0.0,0.04902806166419762,45
self tun_br add_flow priority = <NUM> tun_id = segmentation_id ,1.0,0.045553430353007775,46
self tun_br add_flow priority = <NUM> in_port = self patch_int_ofport ,1.0,0.045553430353007775,47
self tun_br add_flow priority = <NUM> tun_id = segmentation_id ,1.0,0.045553430353007775,48
br add_flow priority = <NUM> ,1.0,0.045553430353007775,49
br add_flow priority = <NUM> ,1.0,0.045553430353007775,50
self tun_br add_flow priority = <NUM> in_port = self patch_int_ofport ,1.0,0.045553430353007775,51
tunnel_ips = x ip_address x ,0.0,0.03811983498196436,52
entry ex ,0.0,0.03752438763266148,53
LOG error <STR> entry ex ,1.0,0.03752438763266148,54
entry ex ,0.0,0.03752438763266148,55
sys exit <NUM> ,1.0,0.026251188514690476,56
reconnect_interval rpc ,0.0,0.0,57
self tunnel_id_ranges = [ ] ,1.0,0.0,58
LOG info <STR> % ,1.0,0.0,59
dl_vlan = <NUM>xffff ,1.0,0.0,60
tunnel_sync ,1.0,0.0,61
self _parse_tunnel_id_ranges ,1.0,0.0,62
self setup_tunnel_br tun_br ,1.0,0.0,63
dl_vlan = segmentation_id ,1.0,0.0,64
physical_network bridge ,1.0,0.0,65
dl_vlan = lvid ,0.0,0.0,66
segmentation_id ,1.0,0.0,67
self INT_OFPORT = <STR> ,1.0,0.0,68
<STR> % new_net_uuid ,1.0,0.0,69
lvm vlan net_uuid ,1.0,0.0,70
ovs_db_v<NUM> sync_tunnel_allocations self tunnel_id_ranges ,1.0,0.0,71
self tun_br delete_flows tun_id = lvm segmentation_id ,1.0,0.0,72
mapping ex ,1.0,0.0,73
LOG error <STR> % ,1.0,0.0,74
bridge physical_network ,1.0,0.0,75
br = self phys_brs [ physical_network ] ,1.0,0.0,76
<STR> ,1.0,0.0,77
old_tunnel_ips = tunnel_ips ,1.0,0.0,78
br delete_flows in_port = self phys_ofports [ lvm physical_network ] ,1.0,0.0,79
dl_vlan = lvm segmentation_id ,1.0,0.0,80
dl_dst = <STR> ,1.0,0.0,81
network_type net_uuid ,1.0,0.0,82
Exception <STR> % net_uuid ,1.0,0.0,83
self mock_int_bridge add_patch_port ,1.0,0.0,84
<STR> <NUM> <NUM> ,0.0,0.0,85
