total_tokens,line_level_label,line_score,row
like DNAT SNAT Use this mode you do want to adopt DVR ,0.0,1.0,1
- legacy this preserves the existing behavior where the L<NUM> agent ,0.0,0.9659695559166289,2
- dvr this mode enables DVR functionality must be used an L<NUM> ,0.0,0.7399730185965416,3
self call context ,0.0,0.719943561354101,4
Needed by the agent when operating DVR / DVR_SNAT mode ,0.0,0.7013082618080633,5
Needed by the L<NUM> service when dealing DVR ,0.0,0.5982177981872303,6
The working mode the agent Allowed values are ,0.0,0.5965743507212221,7
ip_rule = mock patch <STR> start ,1.0,0.5757119598212515,8
ip_dev = mock patch <STR> start ,1.0,0.5757119598212515,9
device addr add net version ip_cidr net broadcast ,1.0,0.5017382690170057,10
deployed on a centralized networking node to provide L<NUM> services ,0.0,0.47540966993012174,11
node single - host deployments e g devstack ,0.0,0.4753531873017169,12
device addr delete net version ip_cidr ,1.0,0.45686939517081504,13
neutron agent linux ovs_lib # noqa ,1.0,0.4190899602640699,14
- dvr_snat this enables centralized SNAT support conjunction ,0.0,0.39777504018374255,15
DVR This mode must be used an L<NUM> agent running on a centralized ,0.0,0.39607313662772126,16
device neigh delete net version ip mac ,1.0,0.39014242579942177,17
add_arp_entry self context payload ,1.0,0.3896000365551198,18
get_ports_by_subnet self context subnet_id ,1.0,0.3896000365551198,19
self context network_id ,1.0,0.3896000365551198,20
get_agent_gateway_port self context fip_net ,1.0,0.3896000365551198,21
self plugin_rpc get_ports_by_subnet self context ,1.0,0.3896000365551198,22
del_arp_entry self context payload ,1.0,0.3896000365551198,23
int_ports append <STR> _uuid ,0.0,0.36087873976302776,24
self subnet_id_list append _uuid ,0.0,0.36087873976302776,25
subnet_id_list append _uuid ,0.0,0.36087873976302776,26
version = <STR> ,0.0,0.35563916822710884,27
device neigh add net version ip mac ,1.0,0.35563916822710884,28
check_exit_code = root_helper = self conf root_helper ,1.0,0.29801733727410923,29
self mock_ip_dev = mock MagicMock ,0.0,0.2879218847534681,30
ri = mock MagicMock ,1.0,0.2879218847534681,31
ri router = mock Mock ,1.0,0.2879218847534681,32
ri iptables_manager ipv<NUM> [ <STR> ] = mock MagicMock ,1.0,0.2879218847534681,33
self mock_rule = mock MagicMock ,0.0,0.2879218847534681,34
LOG debug <STR> d name ,1.0,0.2856993006984379,35
LOG debug <STR> ns ,1.0,0.2856993006984379,36
LOG debug <STR> ex_gw_port ,1.0,0.2856993006984379,37
Remove the rules This safe because ,1.0,0.2854928043579354,38
use_namespaces then the agent can ,1.0,0.2840972578664433,39
ri = l<NUM>_agent RouterInfo router_id self conf root_helper ,1.0,0.267528927883665,40
self make_msg <STR> host = self host ,0.0,0.2670164266499579,41
NAT rules will be their own namespace ,1.0,0.2502513850811707,42
ip_wrapper netns execute cmd check_exit_code = ,1.0,0.24209350324831427,43
self conf use_namespaces ,1.0,0.2394275968722197,44
self conf enable_metadata_proxy ,1.0,0.2394275968722197,45
self conf use_namespaces ,1.0,0.2394275968722197,46
agent = l<NUM>_agent L<NUM>NATAgent HOSTNAME self conf ,1.0,0.2394275968722197,47
self conf agent_mode = = <STR> ,1.0,0.2394275968722197,48
ri = l<NUM>_agent RouterInfo router [ <STR> ] self conf root_helper ,1.0,0.2394275968722197,49
self conf enable_metadata_proxy ,1.0,0.2394275968722197,50
<STR> self conf agent_mode ,0.0,0.2394275968722197,51
self conf router_delete_namespaces ,1.0,0.2394275968722197,52
self conf use_namespaces router = router ,1.0,0.2394275968722197,53
agent = l<NUM>_agent L<NUM>NATAgent HOSTNAME self conf ,1.0,0.2394275968722197,54
self conf use_namespaces router = router ,1.0,0.2394275968722197,55
self conf use_namespaces None ,0.0,0.2394275968722197,56
bridge = self conf external_network_bridge ,1.0,0.2394275968722197,57
ri = l<NUM>_agent RouterInfo router [ <STR> ] self conf root_helper ,1.0,0.2394275968722197,58
bridge = self conf external_network_bridge ,1.0,0.2394275968722197,59
ns_ipd route add_gateway gateway table = snat_idx ,1.0,0.2320686853170746,60
network_id = fip_net host = self host ,1.0,0.2253225850857073,61
agent that runs on a compute host ,0.0,0.22052369210187128,62
Floating IP namespace adds gateway port ,1.0,0.19995139336779008,63
<STR> Create Floating IP gateway port ,1.0,0.19025069611293705,64
self mock_ip_dev neigh delete assert_called_once_with ,1.0,0.1872193911753273,65
cmd = [ <STR> % interface_name ] ,1.0,0.18350376284642475,66
ri fip_<NUM>_rtr table = <NUM> ,1.0,0.17126453690181864,67
ns_ipd route delete_gateway table = snat_idx ,1.0,0.17126453690181864,68
device route delete_gateway ri fip_<NUM>_rtr table = FIP_RT_TBL ,1.0,0.17126453690181864,69
device route add_gateway ri fip_<NUM>_rtr table = FIP_RT_TBL ,1.0,0.17126453690181864,70
eventlet spawn_n self _arping ns_name interface_name ip_address ,1.0,0.1591739846602759,71
eventlet spawn_n self _arping ri interface_name ip_address ,1.0,0.1591739846602759,72
self mock_ip_dev route add_gateway assert_called_once_with ,1.0,0.1527161336030144,73
self send_arp assert_called_once_with ri ns_name interface_name ,1.0,0.1527161336030144,74
self send_arp assert_called_once_with fip_ns_name interface_name ,1.0,0.1527161336030144,75
self send_arp assert_called_once_with ri interface_name ,1.0,0.1527161336030144,76
self mock_ip_dev neigh add assert_called_once_with ,1.0,0.1527161336030144,77
iptables_manager apply ,1.0,0.14687728249572024,78
floating_ip = fip_cidr split <STR> [ <NUM> ] ,1.0,0.1444495786789487,79
agent _destroy_fip_namespace namespaces [ <NUM> ] ,1.0,0.14368613867472332,80
self mock_ip get_namespaces return_value = namespaces ,1.0,0.14368613867472332,81
namespaces = [ <STR> ] ,1.0,0.14368613867472332,82
action = = <STR> interface_name ,1.0,0.138842462515154,83
def_handle_router_fip_nat_rules self ri interface_name action ,1.0,0.138842462515154,84
only configure one router otherwise each router ' s ,1.0,0.13447148043376217,85
<NUM> <NUM> - DVR support new L<NUM> plugin methods added ,0.0,0.1297980970771588,86
fips = port get <STR> [ ] ,0.0,0.12944654769768102,87
self _set_subnet_info port ,1.0,0.12944654769768102,88
port [ <STR> ] interface_name ,1.0,0.12944654769768102,89
port [ <STR> ] internal_cidr ,1.0,0.12944654769768102,90
port router_ports ,1.0,0.12944654769768102,91
port_id = port [ <STR> ] ,1.0,0.12944654769768102,92
port = self get_internal_port ri subnet_id ,1.0,0.12944654769768102,93
<STR> port ,0.0,0.12944654769768102,94
network_id = port [ <STR> ] ,1.0,0.12944654769768102,95
port [ <STR> ] ,1.0,0.12944654769768102,96
port snat_ports ,1.0,0.12944654769768102,97
interface_name = self get_snat_int_device_name port [ <STR> ] ,1.0,0.12944654769768102,98
port ,1.0,0.12944654769768102,99
Request port creation Plugin then creates ,1.0,0.12944654769768102,100
mac_address = port [ <STR> ] ,1.0,0.12944654769768102,101
[ <STR> ] port interface_name ,1.0,0.12944654769768102,102
self _internal_network_added snat_ns_name port [ <STR> ] ,1.0,0.12944654769768102,103
fips = port [ <STR> ] ,1.0,0.12944654769768102,104
agent internal_network_removed ri port ,1.0,0.12944654769768102,105
internal_network_added self ri port ,1.0,0.12944654769768102,106
subnet_id = port [ <STR> ] ,1.0,0.12944654769768102,107
snat_ip = self _map_internal_interfaces ri port snat_ports ,1.0,0.12944654769768102,108
ip port [ <STR> ] ,1.0,0.12944654769768102,109
interface_name = self get_internal_device_name port [ <STR> ] ,1.0,0.12944654769768102,110
agent internal_network_added ri port ,1.0,0.12944654769768102,111
port = agent get_internal_port ri self subnet_id_list [ <NUM> ] ,1.0,0.12944654769768102,112
snat_port = self _map_internal_interfaces ri port ,1.0,0.12944654769768102,113
self _snat_redirect_remove ri port interface_name ,1.0,0.12944654769768102,114
self _internal_network_added ns_name port [ <STR> ] ,1.0,0.12944654769768102,115
port = <STR> network_id ,1.0,0.12944654769768102,116
internal_cidr = port [ <STR> ] ,1.0,0.12944654769768102,117
def_set_subnet_arp_info self ri port ,1.0,0.12944654769768102,118
internal_network_removed self ri port ,1.0,0.12944654769768102,119
LOG exception msg ,1.0,0.1283472888490765,120
LOG exception msg % namespace ,1.0,0.1283472888490765,121
floating_ips = [ i i floating_ips i [ <STR> ] = = self host ] ,0.0,0.11266129254285366,122
ex_gw_port [ <STR> ] = = self host ,0.0,0.11266129254285366,123
ri ex_gw_port [ <STR> ] = = self host ,0.0,0.11266129254285366,124
agent host = HOSTNAME ,1.0,0.11266129254285366,125
ex_gw_port ri router [ <STR> ] = = self host ,1.0,0.11266129254285366,126
ri router [ <STR> ] = = self host ,1.0,0.11266129254285366,127
pass ,0.0,0.10729163774912133,128
LOG exception _ <STR> ,1.0,0.10546462111361574,129
snat_idx = netaddr IPNetwork sn_port [ <STR> ] value ,1.0,0.10089109470660856,130
cfg StrOpt <STR> ,1.0,0.09325293119286931,131
ri router [ <STR> ] __ nonzero__ = self ,0.0,0.08187384016210113,132
Route Table index FIPs ,1.0,0.08148034731368453,133
ROUTER_<NUM>_FIP_DEV_PREFIX + router_id [ self driver DEV_NAME_LEN ] ,1.0,0.0710356587911534,134
FIP_<NUM>_ROUTER_DEV_PREFIX + router_id [ self driver DEV_NAME_LEN ] ,1.0,0.0710356587911534,135
net = netaddr IPNetwork ip_cidr ,1.0,0.06298311649663685,136
gateway = self _map_internal_interfaces ri p snat_ports ,1.0,0.06080414841525601,137
gateway ,0.0,0.06080414841525601,138
def_snat_redirect_add self ri gateway sn_port sn_int ,1.0,0.06080414841525601,139
self _snat_redirect_add ri gateway [ <STR> ] [ <NUM> ] ,1.0,0.06080414841525601,140
ports [ <NUM> ] [ <STR> ] = self subnet_id_list [ <NUM> ] ,1.0,0.055579678826627836,141
agent _set_subnet_arp_info ri ports [ <NUM> ] ,1.0,0.055579678826627836,142
ports = ri router get l<NUM>_constants INTERFACE_KEY [ ] ,1.0,0.055579678826627836,143
self driver plug ex_gw_port [ <STR> ] ,1.0,0.04293432777970817,144
self driver unplug snat_interface namespace = ns_name ,1.0,0.04293432777970817,145
self driver init_l<NUM> interface_name [ ex_gw_port [ <STR> ] ] ,1.0,0.04293432777970817,146
