total_tokens,line_level_label,line_score,row
old_ref new_ref = db instance_update_and_get_original self context ,0.0,1.0,1
context instance = instance instance_type = flavor ,0.0,0.948475882349956,2
def_fake_migrate_server * args * * kwargs ,1.0,0.8914129228539842,3
context image instance flavor host ,0.0,0.8796397673351659,4
self context * * args ,0.0,0.7695373193501641,5
context image [ instance ] ,0.0,0.7634975208527863,6
context image [ instance ] ,1.0,0.7634975208527863,7
self _cold_migrate context instance flavor ,1.0,0.663374074474662,8
def_cold_migrate self context instance flavor filter_properties ,0.0,0.663374074474662,9
self quotas rollback context reservations ,1.0,0.5280417150394033,10
self stubs Set conductor_manager ComputeTaskManager ,0.0,0.5267631716638812,11
self stubs Set scheduler_utils <STR> ,1.0,0.5267631716638812,12
def_set_vm_state_and_notify self context method updates ex ,1.0,0.4901828771941063,13
context <STR> method updates ,0.0,0.4901828771941063,14
def_fake_build_request_spec context image instances ,1.0,0.47975890799452225,15
image = self _get_image context image_ref ,1.0,0.4783957129772372,16
image = self _get_image context image_ref ,1.0,0.4783957129772372,17
image_ref = instance get <STR> ,1.0,0.45806943855023224,18
image_ref = instance get <STR> ,1.0,0.45806943855023224,19
hosts = [ host = <STR> nodename = None limits = ] ,1.0,0.411688473591499,20
args = ,0.0,0.3912650527507959,21
context request_spec filter_properties ,1.0,0.3782722665993683,22
self context fake_instance <STR> ,1.0,0.3782722665993683,23
self context fake_instance scheduler_hint ,1.0,0.3782722665993683,24
self context [ fake_instance ] AndReturn request_spec ,1.0,0.3782722665993683,25
self context <STR> AndReturn ,0.0,0.3782722665993683,26
compute_utils EventReporter context ConductorManager ,1.0,0.3782722665993683,27
self context fake_instance [ <STR> ,1.0,0.3782722665993683,28
self context request_spec <STR> AndRaise ,1.0,0.3782722665993683,29
self context request_spec AndReturn hosts ,1.0,0.3782722665993683,30
compute_utils add_instance_fault_from_exc self context ,0.0,0.3782722665993683,31
self context fake_instance scheduler_hint ,1.0,0.3782722665993683,32
self _set_vm_state_and_notify context <STR> ,1.0,0.3782722665993683,33
self context request_spec filter_properties AndReturn hosts ,1.0,0.3782722665993683,34
excutils save_and_reraise_exception ,0.0,0.3646078901926995,35
self mox StubOutWithMock db <STR> ,1.0,0.3467848351324644,36
ex request_spec self db ,0.0,0.3467848351324644,37
instance_uuid = instance [ <STR> ] ,1.0,0.3119093266232858,38
exc NoValidHost reason = <STR> ,1.0,0.2979921133385842,39
hosts = [ host = <STR> limits = ] ,1.0,0.2638388645662299,40
<STR> vm_states ERROR ,1.0,0.21842977230678196,41
updates = <STR> vm_states ERROR ,1.0,0.21842977230678196,42
filter_properties = <STR> retry ,1.0,0.20715876268922295,43
retry = <STR> <NUM> ,1.0,0.20715876268922295,44
image = image request_spec = request_spec ,1.0,0.20024689275603638,45
self quotas = quota QUOTAS ,0.0,0.19503598736662014,46
mox IsA exc NoValidHost mox IgnoreArg ,0.0,0.14299753095346684,47
host node = host_state [ <STR> ] ,1.0,0.13483067552606579,48
exception NoValidHost ex ,1.0,0.12703604229336976,49
mox IsA conductor_api LocalAPI new_ref ,0.0,0.11401833292501594,50
image = ,0.0,0.10012344637801819,51
image = ,0.0,0.10012344637801819,52
LOG warning _ <STR> ,1.0,0.042852781219802995,53
filter_properties = filter_properties node = node ,1.0,0.03737685808711733,54
self mox StubOutWithMock self conductor_manager image_service <STR> ,1.0,0.029168375249405618,55
self mox StubOutWithMock self conductor_manager image_service <STR> ,1.0,0.029168375249405618,56
<STR> instance_uuid ,1.0,0.026807518748098023,57
filter_properties = filter_properties node = None AndRaise ,1.0,0.018688429043558667,58
filter_properties = filter_properties node = None ,1.0,0.018688429043558667,59
filter_properties = filter_properties node = <STR> ,1.0,0.018688429043558667,60
filter_properties pop <STR> None ,1.0,0.012267953406415143,61
instance_type = ,1.0,0.0,62
<STR> instance_properties ,1.0,0.0,63
<STR> ,1.0,0.0,64
<STR> ,0.0,0.0,65
host_state ,0.0,0.0,66
updates = <STR> None ,1.0,0.0,67
