total_tokens,line_level_label,line_score,row
<STR> Validate that the tenant can use the requested networks ,0.0,1.0,1
Return the number of instances than can be successfully allocated ,0.0,0.9559014493276651,2
Return the number of instances that can be successfully allocated ,0.0,0.8664763906811463,3
nets = self _get_available_networks context context project_id ,0.0,0.733850939647198,4
nets = self _get_available_networks context context project_id ,1.0,0.733850939647198,5
the requested network configuration ,0.0,0.49390387501942784,6
port = neutronv<NUM> get_client context ,0.0,0.4920153548397635,7
validate_networks self context networks max_count ,1.0,0.481478473762071,8
ports = neutron list_ports tenant_id = context project_id [ <STR> ] ,1.0,0.48125590561190007,9
self network_rpcapi validate_networks context ,1.0,0.48084216013205666,10
self network_rpcapi validate_networks context ,0.0,0.48084216013205666,11
neutron = neutronv<NUM> get_client context ,0.0,0.43495518999359933,12
neutron = neutronv<NUM> get_client context ,0.0,0.43495518999359933,13
validate_networks self context requested_networks num_instances ,1.0,0.42784418299534643,14
exception PortInUse port_id = port_id ,1.0,0.3978728340660159,15
exception PortNotFound port_id = port_id ,1.0,0.3978728340660159,16
exception PortNotFound port_id = port_id ,1.0,0.3978728340660159,17
exception PortInUse port_id = port_id ,1.0,0.3978728340660159,18
nets = self _get_available_networks context ,1.0,0.3672630006534869,19
nets = self _get_available_networks context ,1.0,0.3672630006534869,20
quotas = neutron show_quota tenant_id = context project_id [ <STR> ] ,1.0,0.3665879389935633,21
def_check_requested_networks self context requested_networks ,0.0,0.3665879389935633,22
self network_api validate_networks context requested_networks ,0.0,0.3665879389935633,23
validate_networks self context requested_networks ,0.0,0.3665879389935633,24
self context requested_networks <NUM> ,1.0,0.3665879389935633,25
context project_id net_ids ,0.0,0.3665879389935633,26
self _check_requested_networks context requested_networks ,0.0,0.3665879389935633,27
context project_id net_ids ,0.0,0.3665879389935633,28
api validate_networks self context requested_networks <NUM> ,1.0,0.3665879389935633,29
api validate_networks self context requested_networks ,1.0,0.3665879389935633,30
self context requested_networks ,1.0,0.3665879389935633,31
self network_api validate_networks context requested_networks ,1.0,0.3665879389935633,32
def_check_requested_networks self context requested_networks ,1.0,0.3665879389935633,33
max_count = api validate_networks self context ,1.0,0.3665879389935633,34
context ,0.0,0.3665879389935633,35
base_options = self _validate_and_build_base_options context ,0.0,0.3665879389935633,36
max_network_count = self _check_requested_networks context ,0.0,0.3665879389935633,37
the server ,0.0,0.2812618756993052,38
the server ,0.0,0.2812618756993052,39
validate_networks * args * * kwargs ,0.0,0.2545149937717773,40
exception QuotaError error ,0.0,0.20486881870113607,41
exception PortLimitExceeded error ,0.0,0.20486881870113607,42
port = neutron show_port port_id get <STR> ,1.0,0.20236336087506368,43
exception NetworkDuplicated network_id = net_id ,1.0,0.19660642245772322,44
exception NetworkNotFound network_id = id_str ,1.0,0.19660642245772322,45
exception NetworkNotFound network_id = id_str ,1.0,0.19660642245772322,46
exception NetworkDuplicated network_id = net_id ,1.0,0.19660642245772322,47
neutronv<NUM> exceptions NeutronClientException e ,0.0,0.1830654139436398,48
neutronv<NUM> exceptions NeutronClientException e ,0.0,0.1830654139436398,49
block_device_mapping auto_disk_config reservation_id ,0.0,0.16925914316416227,50
block_device_mapping auto_disk_config reservation_id ,0.0,0.16925914316416227,51
