total_tokens,line_level_label,line_score,row
number of times to rescan iSER target to find volume ,1.0,1.0,1
use this file compliance the License You may obtain ,1.0,0.6724553138785112,2
to discovery need be Discovery may be completely removed future ,0.0,0.5,3
<STR> Executes commands relating to ISER volumes ,0.0,0.5,4
Unless required by applicable law agreed to writing software ,1.0,0.5,5
iser target user - land tool to use string value ,1.0,0.5,6
lun = <NUM> # For tgtadm the controller lun <NUM> dev starts at lun <NUM> ,0.0,0.37261380553433887,7
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.17879757990795525,8
self stubs Set os path <STR> lambda_ ,1.0,0.0,9
self configuration iser_ip_address tid iser_name lun ,1.0,0.0,10
vol_id = name split <STR> [ <NUM> ] ,0.0,0.0,11
< / target > ,0.0,0.0,12
target_lun the lun of the iSER target ,0.0,0.0,13
volume_path = os path join CONF volumes_dir vol_uuid_file ,1.0,0.0,14
cmds = [ ] ,0.0,0.0,15
iser_properties [ <STR> ] ,1.0,0.0,16
<STR> ,1.0,0.0,17
parsed = line split ,0.0,0.0,18
create_iser_target self name tid lun path ,0.0,0.0,19
LOG debug msg ,0.0,0.0,20
self configuration volume_group ,1.0,0.0,21
target_iqn the IQN of the iSER target ,0.0,0.0,22
setUp self ,1.0,0.0,23
exception DeviceUnavailable path = host_device ,0.0,0.0,24
ensure_export self context volume ,0.0,0.0,25
TgtAdmTestCase test TestCase TargetAdminTestCase ,0.0,0.0,26
self _execute self _cmd * args run_as_root = * * kwargs ,0.0,0.0,27
target_portal the portal of the iSER target ,0.0,0.0,28
location = volume [ <STR> ] ,1.0,0.0,29
results = location split <STR> ,0.0,0.0,30
Number of iser target ids per host integer value ,1.0,0.0,31
data [ <STR> ] = self VERSION ,1.0,0.0,32
volume = <STR> ,1.0,0.0,33
fake_execute cmd *_args * *_kwargs ,1.0,0.0,34
All Rights Reserved ,0.0,0.0,35
self script_template % self get_script_params ,0.0,0.0,36
TgtAdm TargetAdmin ,1.0,0.0,37
target iqn lun ,0.0,0.0,38
f write volume_conf ,0.0,0.0,39
chap_auth = self _iser_authentication <STR> chap_username ,0.0,0.0,40
self set_execute execute ,1.0,0.0,41
iser_driver _do_iser_discovery volume ,0.0,0.0,42
<STR> % name path chap_auth ,0.0,0.0,43
properties [ <STR> ] = results [ <NUM> ] ,0.0,0.0,44
auth_method auth_username auth_secret = auth split ,0.0,0.0,45
<STR> % ip self configuration iser_port ,1.0,0.0,46
IndexError ValueError ,0.0,0.0,47
LOG info _ <STR> % vol_id ,0.0,0.0,48
tries ! = <NUM> ,0.0,0.0,49
integer value ,1.0,0.0,50
self verify_cmds cmds ,0.0,0.0,51
message =_ <STR> ,1.0,0.0,52
<STR> tries ,0.0,0.0,53
ISERTargetRemoveFailed CinderException ,1.0,0.0,54
self configuration iser_ip_address target ,1.0,0.0,55
shutil rmtree self persist_tempdir ,0.0,0.0,56
< target % s > ,0.0,0.0,57
os path exists host_device ,0.0,0.0,58
os path exists host_device ,0.0,0.0,59
FakeIserHelper ,0.0,0.0,60
= <STR> ,1.0,0.0,61
volume_driver = cinder volume drivers lvm LVMISCSIDriver cinder volume drivers lvm LVMISERDriver ,0.0,0.0,62
self _ensure_iser_targets context volume [ <STR> ] ,1.0,0.0,63
volume [ <STR> ] ,1.0,0.0,64
TgtAdm ,0.0,0.0,65
context ,0.0,0.0,66
FakeIserHelper ,1.0,0.0,67
properties [ <STR> ] = results [ <NUM> ] split <STR> [ <NUM> ] ,0.0,0.0,68
def_run self * args * * kwargs ,1.0,0.0,69
properties [ <STR> ] = ,0.0,0.0,70
result = iser_driver _get_iser_properties volume ,0.0,0.0,71
tid [ - <NUM> ] ,0.0,0.0,72
LOG debug _ <STR> % location ,1.0,0.0,73
iser_target = self db volume_get_iscsi_target_num ,0.0,0.0,74
check_exit_code = [ <NUM> <NUM> ] ,0.0,0.0,75
an ietadm discovery ,0.0,0.0,76
] ,0.0,0.0,77
ISERTargetNotFoundForVolume NotFound ,0.0,0.0,78
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.0,79
LVMVolumeDriver __ init__ self * args * * kwargs ,1.0,0.0,80
host ,0.0,0.0,81
tid = self _get_target iqn ,1.0,0.0,82
properties [ <STR> ] ,0.0,0.0,83
run_commands self ,0.0,0.0,84
iqn line ,0.0,0.0,85
iqn = location [ <NUM> ] ,0.0,0.0,86
properties [ <STR> ] = auth_method ,0.0,0.0,87
model_update [ <STR> ] = self _iser_location ,0.0,0.0,88
volume_path ,0.0,0.0,89
iser_driver _execute = * a * * kw \ ,0.0,0.0,90
location ,0.0,0.0,91
s [ <STR> ] split <STR> [ <NUM> ] ,0.0,0.0,92
cinder utils ,1.0,0.0,93
<STR> % chap name password ,0.0,0.0,94
old_name None ,1.0,0.0,95
check_exit_code = ,0.0,0.0,96
iser_properties = init_conn [ <STR> ] ,0.0,0.0,97
cfg StrOpt <STR> ,1.0,0.0,98
host_iser_targets = self db iscsi_target_count_by_host context ,0.0,0.0,99
self _stats = data ,1.0,0.0,100
old_name = old_name ,1.0,0.0,101
self assertEquals result [ <STR> ,1.0,0.0,102
out = ,1.0,0.0,103
self persist_tempdir = tempfile mkdtemp ,1.0,0.0,104
Base iSER target admin helpers ,0.0,0.0,105
re ,1.0,0.0,106
self configuration iser_helper = = <STR> ,1.0,0.0,107
<STR> self target_name ,0.0,0.0,108
Exception e ,1.0,0.0,109
def_do_iser_discovery self volume ,0.0,0.0,110
iser_target = <NUM> ,1.0,0.0,111
volume_id the of the volume currently used by xen ,0.0,0.0,112
self script_template = None ,0.0,0.0,113
os path isfile volume_path ,0.0,0.0,114
% <STR> e ,0.0,0.0,115
portals = [ <STR> p split <STR> [ <NUM> ] ,0.0,0.0,116
init_conn = self initialize_connection volume connector ,0.0,0.0,117
shutil ,1.0,0.0,118
