total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,1.0,1.0,1
License the specific language governing permissions limitations ,1.0,0.953889073340811,2
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.9405494852595915,3
target_portal the portal of the iSCSI target ,1.0,0.8393960464632533,4
use this file compliance the License You may obtain ,1.0,0.8332388138135707,5
the of the driver data defined in_get_iscsi_properties ,1.0,0.8213125281614825,6
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.8017482272457885,7
a copy of the License at ,1.0,0.7922985945992942,8
volume_id the of the volume currently used by xen ,1.0,0.7786204802929442,9
cinder openstack common log logging ,1.0,0.7663450699727299,10
def__ init__ self * args * * kwargs ,1.0,0.7602128891589938,11
EMCISCSIDriver self __ init__ * args * * kwargs ,1.0,0.7520346912474513,12
therefore maps the volume to the host ,0.0,0.7487644406564551,13
target_lun the lun of the iSCSI target ,1.0,0.7047277740201224,14
target_iqn the IQN of the iSCSI target ,1.0,0.7047277740201224,15
the iscsi driver returns a driver_volume_type of <STR> ,1.0,0.6614166868421492,16
result = result get datatype num ,1.0,0.6601957150091307,17
<STR> Add volume to the Device Masking Group that belongs to ,1.0,0.6251045060476257,18
<STR> Get the storage the config file ,1.0,0.5797890444880718,19
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.5102978140536029,20
image_service update context image_id volume_file ,1.0,0.5060457993542146,21
copy_volume_to_image self context volume image_service image_id ,1.0,0.48080471707348477,22
We ideally get saved information the volume entity but fall back ,1.0,0.4594706483441189,23
meaning use CHAP the specified credentials ,1.0,0.45888859364909407,24
therefore unmaps the volume the host ,1.0,0.4482057430201588,25
result = num ,1.0,0.44587520470083153,26
<STR> pywbem Uint<NUM> num ,1.0,0.44587520470083153,27
<STR> pywbem Uint<NUM> num ,1.0,0.44587520470083153,28
def_getnum self num datatype ,1.0,0.44587520470083153,29
copy_image_to_volume self context volume image_service image_id ,1.0,0.4075753711259318,30
image_service download context image_id image_file ,1.0,0.4075753711259318,31
cinder openstack common cfg ,1.0,0.4011785090182376,32
create_export self context volume ,1.0,0.3998636996071898,33
<STR> Driver exntry point to remove an export a volume ,0.0,0.38829045916117316,34
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.37375802570352606,35
target_discovered boolean indicating whether discovery was used ,1.0,0.35727289690931846,36
< ! - - Credentials of ECOM packaged SMI - S - - > ,0.0,0.3404410640731374,37
the authentication details Right now either auth_method ,1.0,0.3345455221286101,38
check_for_export self context volume_id ,1.0,0.32070113459480115,39
ensure_export self context volume ,1.0,0.32044744048713114,40
context volume connector ,1.0,0.32044744048713114,41
remove_export self context volume ,1.0,0.32044744048713114,42
def_attach_volume self context volume connector ,1.0,0.32044744048713114,43
<STR> Initializes the connection returns connection info ,1.0,0.29604170285283854,44
