total_tokens,line_level_label,line_score,row
License the specific language governing permissions limitations ,1.0,1.0,1
Unless required by applicable law agreed to writing software ,1.0,0.9218526273634478,2
use this file compliance the License You may obtain ,1.0,0.6329142551424195,3
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.6070434569749995,4
a copy of the License at ,1.0,0.5809639680249,5
nova openstack common log logging ,1.0,0.5360714156583337,6
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.5121254975591351,7
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.4359789996832229,8
< description > Adds mac address parameter to the ip < / description > ,1.0,0.3717437462169477,9
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.34229046650313627,10
under the License ,1.0,0.3160743535444495,11
jsonutils loads body get <STR> ,1.0,0.2997841494664377,12
networks = common get_networks_for_instance context instance ,0.0,0.22303836364364163,13
nova openstack common jsonutils ,1.0,0.22156916090287848,14
def__ init__ self * args * * kwargs ,1.0,0.21049091275057724,15
< ? xml version = <STR> ? > ,1.0,0.20092900609871966,16
req = webob Request blank url ,1.0,0.19927632178160704,17
< ip version = <STR> / > ,1.0,0.19619051055112446,18
ExtendedIpsMacController self __ init__ * args * * kwargs ,1.0,0.19110336545908282,19
fake_compute_get * args * * kwargs ,1.0,0.1526632781948945,20
fake_compute_get_all * args * * kwargs ,1.0,0.1526632781948945,21
nova api openstack common ,1.0,0.11768699108906301,22
authorize = extensions soft_extension_authorizer <STR> ,1.0,0.11557829336242866,23
extension = extensions ControllerExtension self <STR> controller ,1.0,0.11557829336242866,24
nova api openstack extensions ,1.0,0.11557829336242866,25
Extended_ips_mac extensions ExtensionDescriptor ,1.0,0.11557829336242866,26
self stubs Set compute api API <STR> fake_compute_get ,1.0,0.11252276217606198,27
self stubs Set compute api API <STR> fake_compute_get_all ,1.0,0.11252276217606198,28
< description > % text s < / description > ,1.0,0.10787827534381925,29
authorize context ,1.0,0.1053513725545786,30
self _extend_server context server db_instance ,1.0,0.1053513725545786,31
def_extend_server self context server instance ,1.0,0.1053513725545786,32
context = req environ [ <STR> ] ,1.0,0.1053513725545786,33
elem append ips AddressesTemplate ,0.0,0.10234097821542669,34
< / image > ,1.0,0.09194169453451694,35
< image = <STR> > ,1.0,0.09194169453451694,36
res = req get_response fakes wsgi_app init_only = <STR> ,1.0,0.08730553627468281,37
LOG = logging getLogger __ name__ ,1.0,0.08170048790270926,38
vim tabstop = <NUM> shiftwidth = <NUM> softtabstop = <NUM> ,0.0,0.07389360019274516,39
results append <STR> ,0.0,0.06841447153786476,40
ALL_IPS append sanitized ,0.0,0.06841447153786476,41
fakes stub_out_nw_api self stubs ,1.0,0.06073207432398279,42
< atom link href = <STR> / > ,1.0,0.05941627393204405,43
def_make_request self url ,1.0,0.05764053170023747,44
url = <STR> % UUID<NUM> ,1.0,0.05764053170023747,45
url = <STR> ,1.0,0.05764053170023747,46
res = self _make_request url ,1.0,0.05764053170023747,47
nova api openstack compute ips ,1.0,0.051790687852150234,48
nova api openstack compute contrib extended_ips_mac ,1.0,0.051790687852150234,49
nova compute ,1.0,0.051790687852150234,50
self assertServerStates self _get_server res body ,1.0,0.05178699462171383,51
etree XML body getchildren ,1.0,0.05178699462171383,52
def_get_servers self body ,1.0,0.05178699462171383,53
def_get_server self body ,1.0,0.05178699462171383,54
for_i server self _get_servers res body ,1.0,0.05178699462171383,55
etree XML body ,1.0,0.05178699462171383,56
network server find <STR> % xmlutil XMLNS_V<NUM> ,0.0,0.05168097173861672,57
< file path = <STR> > ,1.0,0.0486756572868136,58
updated = <STR> ,1.0,0.038996677225897565,59
ALL_IPS sort ,0.0,0.03434943668610336,60
make_server elem ,1.0,0.033926506677580896,61
