total_tokens,line_level_label,line_score,row
use this file compliance the License You may obtain ,1.0,1.0,1
Unless required by applicable law agreed to writing software ,1.0,0.9203714950288817,2
<NUM> If you specify both a password a key file this driver will use the ,0.0,0.8756307668108945,3
License the specific language governing permissions limitations ,1.0,0.7502413021812521,4
Extends the volume the volume size more than the snapshot size ,0.0,0.671054161442523,5
a copy of the License at ,1.0,0.6656962481028269,6
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.6539091887595178,7
cinder openstack common log logging ,1.0,0.6179288035205176,8
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.6075282725892023,9
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.581119382793565,10
<STR> Creates a clone of the specified volume ,0.0,0.5709829247167157,11
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.554893577798802,12
Extends the volume the new volume size more than ,0.0,0.45765790442761817,13
Filename of private key to use SSH authentication ,1.0,0.4392763809780212,14
self context = context get_admin_context ,0.0,0.43043230151220796,15
IBMNAS_NFSDriver self __ init__ * args * * kwargs ,1.0,0.4050812258053102,16
<NUM> When using a key file authentication it up to the user ,0.0,0.36934161435040086,17
system administrator to store the private key a safe manner ,0.0,0.3582344338004006,18
def__ init__ self execute = utils execute * args * * kwargs ,0.0,0.34347197739256724,19
Creates file on NFS share using it block device on hypervisor ,0.0,0.3195581358550235,20
IP address Hostname of NAS system string value ,1.0,0.27738585286979395,21
<STR> Creates a volume an existing volume snapshot ,0.0,0.25024513370652834,22
self _context = context ,0.0,0.2501550135231523,23
cinder openstack common processutils ,1.0,0.24511809277187072,24
under the License ,1.0,0.23752824692966013,25
SSH port to use to connect to NAS system integer value ,1.0,0.23589469936707877,26
cinder context ,1.0,0.2335420980942889,27
default = <STR> ,1.0,0.23303235427472696,28
default = <NUM> ,0.0,0.23303235427472696,29
Currently it supports the following IBM Storage Systems ,0.0,0.22676090737212765,30
User name to connect to NAS system string value ,1.0,0.20212216362283544,31
self context user_id = <STR> ,0.0,0.199045282740564,32
do_setup self context ,0.0,0.199045282740564,33
IBMNAS_NFSDriver self do_setup context ,0.0,0.199045282740564,34
self context project_id = <STR> ,0.0,0.199045282740564,35
volume = self db volume_get self _context volume_id ,0.0,0.1973071828461755,36
exception VolumeBackendAPIException data = msg ,1.0,0.1939476076625008,37
the source volume size ,0.0,0.17075094781240016,38
Tests the IBM NAS family SONAS Storwize V<NUM> Unified ,1.0,0.17075094781240016,39
snapshot_path = os path join export_path snapshot name ,0.0,0.17024498350790032,40
cinder volume drivers ibm ibmnas ,1.0,0.16770029490807736,41
LOG = logging getLogger __ name__ ,1.0,0.1547590040579647,42
key file only ,0.0,0.15074298347232093,43
self _driver configuration set_override flag value group ,0.0,0.14637634553237003,44
msg = _ <STR> % e stderr ,0.0,0.1413176491965502,45
drv delete_snapshot snapshot ,1.0,0.1402993944623742,46
delete_snapshot self snapshot ,1.0,0.1402993944623742,47
exception InvalidInput reason =_ <STR> % flag ,0.0,0.133837766554134,48
cinder volume drivers san san ,1.0,0.1333327039920673,49
snapshot name = <STR> ,1.0,0.12713279181590034,50
cinder exception ,1.0,0.126587586806618,51
create_volume_from_snapshot self volume snapshot ,1.0,0.1177270439184333,52
drv create_volume_from_snapshot snapshot ,1.0,0.1177270439184333,53
Password to connect to NAS system string value ,1.0,0.11763468100943983,54
<STR> IBM NAS NFS based cinder driver ,1.0,0.11696300641065492,55
r <STR> re M | re S ,0.0,0.11594969931435486,56
cinder volume configuration conf ,1.0,0.11213040711427995,57
self configuration san_private_key = \ ,1.0,0.1094712989072553,58
out _err = self _run_ssh ssh_cmd check_exit_code = ,0.0,0.10237683250174337,59
self _set_flag flag None ,1.0,0.102243725724802,60
LOG error msg ,0.0,0.10185683620969863,61
msg = _ <STR> ,1.0,0.10185683620969863,62
fchild_local_path = os path join mount_point os path basename fchild ,0.0,0.09944069501999415,63
drv delete_snapshot return_value = None ,1.0,0.09765408525986947,64
drv delete_snapshot = mock drv _get_provider_location return_value \ ,0.0,0.09765408525986947,65
return_value drv delete_snapshot ,0.0,0.09765408525986947,66
result = drv delete_volume volume ,1.0,0.09621087970382516,67
delete_volume self volume ,1.0,0.09621087970382516,68
drv delete_volume volume ,1.0,0.09621087970382516,69
