total_tokens,line_level_label,line_score,row
In folsom version l<NUM> an extension There no way to extend exntension attributes ,1.0,1.0,1
quantum openstack common cfg ,1.0,0.9426710559256963,2
quantum openstack common cfg ,1.0,0.9426710559256963,3
flavor router corresponds to specific l<NUM> plugin flavor - plugin mapping could be configureable by l<NUM>_plugin_list config Note that Metaplugin can provide l<NUM> functionaliteis l<NUM> plugin which didn ' t support l<NUM> extension yet ,1.0,0.9282056514866593,4
r_in_db = plugin create_router context router ,1.0,0.8460167617008179,5
router_ret<NUM> = self plugin create_router self context router<NUM> ,1.0,0.8460167617008179,6
router_in_db<NUM> = self plugin get_router self context router_ret<NUM> [ <STR> ] ,1.0,0.8398928762793806,7
self plugin get_router self context router_ret<NUM> [ <STR> ] ,1.0,0.8398928762793806,8
router = plugin get_router context fields ,1.0,0.8398928762793806,9
flavor network corresponds to specific l<NUM> plugin flavor - plugin mapping could be configureable by plugin_list config ,1.0,0.8216329081896728,10
flavor correspond to specific plugin flavor - plugin mapping could be configureable by plugin_list config ,1.0,0.8182046603018353,11
This plugin support multiple plugin at same time This plugin L<NUM> connectivility ,1.0,0.8027618277109393,12
create_router self context router ,1.0,0.8003444426872328,13
get_router self context fields = None ,1.0,0.7942205572657954,14
[ self get_router context router [ <STR> ] ,1.0,0.7942205572657954,15
This plugin supports multiple plugin at same time This plugin L<NUM> connectivility ,1.0,0.7388920845350491,16
get_routers self context filters = None fields = None ,1.0,0.7234199803221107,17
quantum common exceptions exc ,1.0,0.7049750828700402,18
quantum common exceptions exc ,1.0,0.7049750828700402,19
delete_port self context ,1.0,0.6946402350259666,20
delete_port self context l<NUM>_port_check = ,1.0,0.6946402350259666,21
between networks which are realized by different plugins This plugin adds new attributes <STR> flavor router `` ,1.0,0.6799954535907334,22
routers = self get_routers_with_flavor context filters ,1.0,0.6765317276623177,23
collection = self _model_query context l<NUM>_db Router ,1.0,0.6153667771030104,24
plugin update_router context router ,1.0,0.5897454079162392,25
plugin delete_router context r_in_db [ <STR> ] ,1.0,0.5897454079162392,26
self plugin delete_router self context router_ret<NUM> [ <STR> ] ,1.0,0.5897454079162392,27
plugin delete_router context ,1.0,0.5897454079162392,28
self _extend_router_dict context r_in_db ,1.0,0.5440730889026543,29
get_routers_with_flavor self context filters = None ,1.0,0.5440730889026543,30
delete_router self context ,1.0,0.5440730889026543,31
self disassociate_floatingips context ,1.0,0.5440730889026543,32
self prevent_l<NUM>_port_deletion context ,1.0,0.5440730889026543,33
self _extend_router_dict context router ,1.0,0.5440730889026543,34
def_extend_router_dict self context router ,1.0,0.5440730889026543,35
update_router self context router ,1.0,0.5440730889026543,36
between networks which are realized by different plugins This plugin add new attribute <STR> ,1.0,0.4242081518565856,37
auth_url = http / / <NUM> <NUM> <NUM> <NUM> <NUM> / v<NUM> <NUM> ,1.0,0.41229822550911743,38
auth_url = http / / <NUM> <NUM> <NUM> <NUM> <NUM> / v<NUM> <NUM> ,1.0,0.41229822550911743,39
so you can flavor router value but you can ' t get flavor router value API output ,1.0,0.3313686867792997,40
<STR> attributes ATTR_NOT_SPECIFIED ,1.0,0.2758150954808187,41
<STR> attributes ATTR_NOT_SPECIFIED ,1.0,0.2758150954808187,42
cfg CONF set_override <STR> ,1.0,0.2170737889499035,43
LOG debug <STR> % r_in_db [ <STR> ] ,1.0,0.21199900382479164,44
LOG debug <STR> % r_in_db [ <STR> ] ,1.0,0.21199900382479164,45
mox ,1.0,0.204309254985828,46
mox ,1.0,0.204309254985828,47
binding = meta_models_v<NUM> RouterFlavor flavor = flavor router_id = router_id ,1.0,0.18604056527201857,48
filter_by router_id = router_id ,1.0,0.18604056527201857,49
admin_password = password ,1.0,0.18378768191266762,50
admin_password = password ,1.0,0.18378768191266762,51
self supported_extension_aliases append <STR> ,1.0,0.17689133938435544,52
quantum extensions l<NUM> ,1.0,0.17017230218237253,53
quantum extensions flavor FLAVOR_NETWORK ,1.0,0.17017230218237253,54
quantum extensions flavor FLAVOR_NETWORK FLAVOR_ROUTER ,1.0,0.17017230218237253,55
agent internal_network_added ri ex_gw_port port_id cidr mac ,1.0,0.16854674316609403,56
self default_l<NUM>_flavor = cfg CONF META default_l<NUM>_flavor ,1.0,0.15613411688714388,57
cfg CONF META l<NUM>_plugin_list split <STR> ] ,1.0,0.15613411688714388,58
self default_flavor = cfg CONF META default_flavor ,1.0,0.15613411688714388,59
cfg StrOpt <STR> ,1.0,0.15613411688714388,60
router routers ] ,1.0,0.13245863875937325,61
binding = meta_models_v<NUM> Flavor flavor = flavor network_id = net_id ,1.0,0.12849230945355417,62
binding = meta_models_v<NUM> NetworkFlavor flavor = flavor network_id = net_id ,1.0,0.12849230945355417,63
add_network_flavor_binding flavor net_id ,1.0,0.12485561575040291,64
add_flavor_binding flavor net_id ,1.0,0.12485561575040291,65
LOG info <STR> % plugin_provider ,1.0,0.10174578560750057,66
internal_network_added self ri ex_gw_port network_id port_id ,1.0,0.09635858262228872,67
agent internal_network_added ri ex_gw_port network_id ,1.0,0.09635858262228872,68
def_get_flavor_by_router_id self router_id ,1.0,0.09302028263600928,69
<STR> % self flavor self router_id ,1.0,0.09302028263600928,70
meta_db_v<NUM> get_flavor_by_router router_id ,1.0,0.09302028263600928,71
get_flavor_by_router router_id ,1.0,0.09302028263600928,72
router_id = sa Column sa String <NUM> sa ForeignKey <STR> ,1.0,0.09302028263600928,73
add_router_flavor_binding flavor router_id ,1.0,0.09302028263600928,74
l<NUM>_db Router = = r_model router_id ,1.0,0.09302028263600928,75
self internal_network_added ri ex_gw_port ,1.0,0.09272188891913748,76
internal_network_added self ri ex_gw_port port_id ,1.0,0.09272188891913748,77
self internal_network_added ri ex_gw_port p [ <STR> ] ,1.0,0.09272188891913748,78
plugin_klass = importutils import_class plugin_provider ,1.0,0.09041926026315462,79
plugin_klass = importutils import_class plugin_provider ,1.0,0.09041926026315462,80
exc Invalid <STR> % ,1.0,0.08247346632154548,81
FaildToAddFlavorBinding exc QuantumException ,1.0,0.08247346632154548,82
exc NoResultFound ,1.0,0.08247346632154548,83
exc Invalid <STR> % ,1.0,0.08247346632154548,84
FlavorNotFound exc NotFound ,1.0,0.08247346632154548,85
exc ClassNotFound ,1.0,0.08247346632154548,86
admin_tenant_name = service ,1.0,0.08127154186144357,87
admin_tenant_name = service ,1.0,0.08127154186144357,88
port_id cidr mac ,0.0,0.07582485424695655,89
binding = session query meta_models_v<NUM> Flavor ,1.0,0.07547908622326724,90
binding = session query meta_models_v<NUM> RouterFlavor ,1.0,0.07547908622326724,91
binding = session query meta_models_v<NUM> NetworkFlavor ,1.0,0.07547908622326724,92
L<NUM> agent dont ' s support flavor router ,1.0,0.06386974317569719,93
Limited L<NUM> support ,1.0,0.06386974317569719,94
def__ repr__ self ,1.0,0.051174418698365566,95
plugin = self _get_l<NUM>_plugin flavor ,1.0,0.04567231901346218,96
plugin l<NUM> ,1.0,0.04567231901346218,97
one ,1.0,0.03813743147416165,98
uuid ,1.0,0.03562366038115531,99
uuid ,1.0,0.03562366038115531,100
<STR> _uuid ,1.0,0.03100006784056914,101
key value filters iteritems ,1.0,0.030484556026339704,102
session add binding ,1.0,0.021607601017119733,103
session = db get_session ,1.0,0.021607601017119733,104
session flush ,1.0,0.021607601017119733,105
self default_flavor self plugins ,1.0,0.02049037267533318,106
self l<NUM>_plugins [ flavor ] = self plugins [ flavor ] ,1.0,0.02049037267533318,107
quantum plugins metaplugin meta_models_v<NUM> Flavor ,1.0,0.02049037267533318,108
flavor self plugins ,1.0,0.02049037267533318,109
self default_flavor self plugins ,1.0,0.02049037267533318,110
quantum plugins metaplugin meta_models_v<NUM> NetworkFlavor ,1.0,0.02049037267533318,111
message =_ <STR> ,1.0,0.02022869382096079,112
primary_key = ,0.0,0.01017414616278595,113
<STR> % self flavor self network_id ,1.0,0.0036366937031512415,114
network_id =_uuid ,1.0,0.0036366937031512415,115
models_v<NUM> Network = = Flavor network_id ,0.0,0.0036366937031512415,116
<STR> % self flavor self network_id ,1.0,0.0036366937031512415,117
