total_tokens,line_level_label,line_score,row
License the specific language governing permissions limitations ,1.0,1.0,1
Unless required by applicable law agreed to writing software ,1.0,0.8611167821655804,2
a copy of the License at ,1.0,0.6424181274872817,3
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.6105628972261237,4
use this file compliance the License You may obtain ,1.0,0.5210510243435971,5
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.501842169106884,6
Return a of running services Filter by host & service name ,1.0,0.46946008103193104,7
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.45934363870460276,8
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.4442037984458022,9
self context = context get_admin_context ,0.0,0.4441211923278866,10
def__ init__ self ext_mgr = None * args * * kwargs ,0.0,0.3923710078300137,11
resources append resource ,0.0,0.28399510655574756,12
fake_service_update context service_id values ,1.0,0.27638443956015196,13
fake_host_api_service_get_all context filters = None set_zones = ,1.0,0.26293950020371043,14
environ = <STR> context get_admin_context ,0.0,0.2623651733012015,15
availability_zones set_availability_zones context ,1.0,0.25520092323221866,16
context = req environ [ <STR> ] ,1.0,0.2354574523358412,17
nova openstack common timeutils ,1.0,0.22186745472329816,18
nova api openstack extensions ,1.0,0.21982689785590195,19
resource = extensions ResourceExtension <STR> ,1.0,0.21084736339165278,20
fake_service_get_by_host_binary context host binary ,1.0,0.20860673568117863,21
authorize context ,1.0,0.20860673568117863,22
self host_api service_update context host binary status_detail ,0.0,0.20860673568117863,23
fake_db_api_service_get_all context disabled = None ,0.0,0.20860673568117863,24
context set_zones = ,1.0,0.20860673568117863,25
nova context ,1.0,0.20860673568117863,26
res_dict = self controller update req <STR> body ,1.0,0.20078410222631235,27
self controller update req <STR> body ,0.0,0.20078410222631235,28
update self req body ,1.0,0.20078410222631235,29
webob exc HTTPUnprocessableEntity detail = msg ,0.0,0.19383393246727668,30
nova tests api openstack fakes ,1.0,0.1841502346939639,31
nova api openstack compute contrib services ,1.0,0.17091300660890377,32
under the License ,1.0,0.1661983199683025,33
exception ServiceNotFound service_id = service_id ,1.0,0.15392873070403798,34
svcs append self _get_service_detail svc detailed ,1.0,0.13955290483442542,35
nova api openstack xmlutil ,1.0,0.1369493332799584,36
nova api openstack wsgi ,1.0,0.1369493332799584,37
webob exc HTTPNotFound <STR> ,1.0,0.12608950611221484,38
self assertRaises webob exc HTTPUnprocessableEntity ,1.0,0.12608950611221484,39
webob exc HTTPNotFound _ <STR> ,0.0,0.12608950611221484,40
webob exc ,0.0,0.12608950611221484,41
default self string ,0.0,0.12036215220962634,42
<STR> datetime datetime <NUM> <NUM> <NUM> <NUM> <NUM> <NUM> ,1.0,0.11741939209277452,43
datetime datetime <NUM> <NUM> <NUM> <NUM> <NUM> <NUM> ,0.0,0.11741939209277452,44
<STR> datetime datetime <NUM> <NUM> <NUM> <NUM> <NUM> <NUM> ] ,1.0,0.11741939209277452,45
<STR> datetime datetime <NUM> <NUM> <NUM> <NUM> <NUM> <NUM> ,1.0,0.11741939209277452,46
name = <STR> ,1.0,0.10684331571077353,47
self stubs Set db_driver DbDriver <STR> dummy_is_up ,0.0,0.10271692181469803,48
dummy_is_up self dummy ,0.0,0.10070607879788389,49
self ext_mgr extensions [ <STR> ] = ,1.0,0.10068314650439797,50
self ext_mgr extensions = ,1.0,0.10068314650439797,51
self ext_mgr = extensions ExtensionManager ,1.0,0.10068314650439797,52
reason = body [ <STR> ] ,1.0,0.09823215600329838,53
utils check_string_length reason strip <STR> ,0.0,0.09570469083903811,54
self stubs Set timeutils <STR> fake_utcnow ,1.0,0.09083676194541747,55
self stubs Set self controller host_api <STR> ,1.0,0.09083676194541747,56
self stubs Set db <STR> fake_service_update ,1.0,0.09083676194541747,57
self stubs Set db <STR> ,1.0,0.09083676194541747,58
authorize = extensions extension_authorizer <STR> ,1.0,0.0828775645759268,59
Services extensions ExtensionDescriptor ,1.0,0.0828775645759268,60
Extended_services extensions ExtensionDescriptor ,1.0,0.0828775645759268,61
vim tabstop = <NUM> shiftwidth = <NUM> softtabstop = <NUM> ,0.0,0.08253586894281693,62
alias = <STR> ,1.0,0.07284176309535147,63
min_length = <NUM> max_length = <NUM> ,0.0,0.06897215576747132,64
service = fake_service_get_by_id service_id ,1.0,0.06777770387891797,65
CONF import_opt <STR> ,0.0,0.0668064827801131,66
msg =_ <STR> ,1.0,0.05933191080627802,67
msg =_ <STR> ,1.0,0.05933191080627802,68
datetime ,1.0,0.05870969604641194,69
req = fakes HTTPRequest blank <STR> ,1.0,0.057374554505415475,70
fakes HTTPRequest blank <STR> ,1.0,0.057374554505415475,71
set_zones <STR> filters ,1.0,0.05433276452252406,72
binary = body [ <STR> ] ,1.0,0.05188580825457519,73
host = body [ <STR> ] ,1.0,0.05188580825457519,74
body = <STR> ,1.0,0.05188580825457519,75
body = service ,1.0,0.05188580825457519,76
<STR> body ,0.0,0.05188580825457519,77
nova utils ,1.0,0.049358343090375824,78
nova availability_zones ,0.0,0.04659418755099079,79
self assertFalse self controller _is_valid_as_reason reason ,0.0,0.04634634774873153,80
ret_value [ <STR> ] = reason ,0.0,0.04634634774873153,81
def_is_valid_as_reason self reason ,0.0,0.04634634774873153,82
self _is_valid_as_reason reason ,0.0,0.04634634774873153,83
status_detail [ <STR> ] = reason ,0.0,0.04634634774873153,84
self assertTrue self controller _is_valid_as_reason reason ,0.0,0.04634634774873153,85
reason = <STR> ,1.0,0.04634634774873153,86
reason = <STR> * <NUM> ,1.0,0.04634634774873153,87
root <STR> ,1.0,0.04422658046791346,88
elem = xmlutil SubTemplateElement root <STR> ,0.0,0.04422658046791346,89
root = xmlutil TemplateElement <STR> ,0.0,0.04422658046791346,90
xmlutil MasterTemplate root <NUM> ,0.0,0.04422658046791346,91
self ext_mgr = ext_mgr ,0.0,0.035611163856969,92
updated = <STR> ,1.0,0.035588393102422754,93
service_node = self find_first_child_named node <STR> ,0.0,0.02985182622097896,94
node = xmlutil safe_minidom_parse_string string ,0.0,0.02985182622097896,95
oslo config cfg ,1.0,0.029053028211480068,96
self host_api = compute HostAPI ,1.0,0.018562850148555503,97
nova compute ,1.0,0.018562850148555503,98
exception ServiceNotFound ,1.0,0.018373322946233405,99
exception InvalidInput ,0.0,0.018373322946233405,100
nova exception ,1.0,0.018373322946233405,101
ext_loaded = self ext_mgr is_loaded <STR> ,1.0,0.0178055819284845,102
ServiceController self ext_mgr ,0.0,0.0178055819284845,103
self controller = services ServiceController self ext_mgr ,1.0,0.0178055819284845,104
detailed = self ext_mgr is_loaded <STR> ,1.0,0.0178055819284845,105
resources ,0.0,0.016472402905573044,106
resources = [ ] ,0.0,0.016472402905573044,107
service [ <STR> ] = = value ,1.0,0.013838390619380836,108
fake_service_get_by_id value ,1.0,0.013838390619380836,109
nova servicegroup drivers db db_driver ,0.0,0.011880159869344925,110
CONF = cfg CONF ,0.0,0.009309331548520651,111
<STR> status ,0.0,0.008102114806371963,112
status = <STR> ,1.0,0.008102114806371963,113
@ wsgi serializers xml = ServicesIndexTemplate ,0.0,0.0017402131609843964,114
@ wsgi serializers xml = ServiceUpdateTemplate ,0.0,0.0017402131609843964,115
self assertEqual res_dict response ,1.0,0.0014609648626838527,116
response = <STR> [ ,1.0,0.0014609648626838527,117
service_detail [ <STR> ] ,1.0,0.0,118
binary = <STR> ,1.0,0.0,119
service [ <STR> ,1.0,0.0,120
res_dict = self controller index req ,1.0,0.0,121
active = <STR> ,1.0,0.0,122
services ,1.0,0.0,123
ServiceUpdateDeserializer wsgi XMLDeserializer ,0.0,0.0,124
fake_services_list = [ ,1.0,0.0,125
nova test ,1.0,0.0,126
GET = ,0.0,0.0,127
<STR> ,1.0,0.0,128
test_services_with_exception self ,1.0,0.0,129
FakeRequestWithHost ,0.0,0.0,130
svcs = [ ] ,0.0,0.0,131
host = <STR> ,1.0,0.0,132
<STR> binary ,0.0,0.0,133
svc services ,1.0,0.0,134
TypeError KeyError ,0.0,0.0,135
FakeRequestWithService ,0.0,0.0,136
status_detail = <STR> disabled ,0.0,0.0,137
ServiceUpdateTemplate xmlutil TemplateBuilder ,0.0,0.0,138
req = FakeRequest ,1.0,0.0,139
req = FakeRequestWithHost ,1.0,0.0,140
index self req ,1.0,0.0,141
req = \ ,0.0,0.0,142
test_services_disable_log_reason self ,1.0,0.0,143
test_invalid_reason_field self ,0.0,0.0,144
ServicesTest self setUp ,1.0,0.0,145
def_get_services self req ,1.0,0.0,146
service [ <STR> ] = service_node getAttribute ,0.0,0.0,147
service None ,1.0,0.0,148
<STR> ] ,1.0,0.0,149
alive = self servicegroup_api service_is_up svc ,0.0,0.0,150
service fake_services_list ,1.0,0.0,151
self assertRaises KeyError self controller index req ,0.0,0.0,152
fake_services_list ,1.0,0.0,153
binary ,0.0,0.0,154
host ,0.0,0.0,155
service_detail = <STR> ] ,1.0,0.0,156
