total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,1.0,1.0,1
License the specific language governing permissions limitations ,1.0,0.9622497058223595,2
Method used to wipe old volumes valid options are none ,0.0,0.6600770139649637,3
Size MiB to wipe at start of old volumes <NUM> = > ,0.0,0.6596108528432494,4
cinder openstack common log logging ,1.0,0.6157028612357146,5
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.6088613582930085,6
a copy of the License at ,1.0,0.5947242416710046,7
use this file compliance the License You may obtain ,1.0,0.5580905852286645,8
lun = <NUM> # For tgtadm the controller lun <NUM> dev starts at lun <NUM> ,1.0,0.4933783070026568,9
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.4733114288346596,10
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.46936747077662805,11
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.45149878479129113,12
copy_image_to_volume self context volume image_service image_id ,0.0,0.4484926803387109,13
BlockDeviceDriver self __ init__ * args * * kwargs ,1.0,0.4020484626577504,14
def__ init__ self * args * * kwargs ,1.0,0.36753364989468623,15
<STR> backend_name self __ class__ __ name__ ,0.0,0.33576467021566764,16
def_iscsi_location self ip target iqn lun = None device = None ,1.0,0.32540021496517624,17
volume_info = self db volume_get context volume [ <STR> ] ,1.0,0.3091892300144653,18
self db iscsi_target_create_safe context target ,1.0,0.3005030975307971,19
def_ensure_iscsi_targets self context host ,1.0,0.2993456089394634,20
LOG debug <STR> volume_info ,1.0,0.2689700558280783,21
lst = api volume_get_all_by_host context get_admin_context ,0.0,0.2669399878170909,22
host_iscsi_targets = self db iscsi_target_count_by_host context ,1.0,0.26419025949141767,23
iscsi_target = self db volume_allocate_iscsi_target context ,1.0,0.26419025949141767,24
self drv copy_image_to_volume context TEST_VOLUME TEST_IMAGE_SERVICE ,0.0,0.26076135148778995,25
os path exists path AndReturn ,0.0,0.25885550390598566,26
context get_admin_context ,1.0,0.2506039655431667,27
self mox StubOutWithMock context <STR> ,1.0,0.2498526808742601,28
cinder context ,1.0,0.2470368063168494,29
LOG debug <STR> ,1.0,0.2420839067227639,30
dict_of_devices_sizes [ device ] = self _get_device_size device ,0.0,0.23435869854682298,31
List of available devices value ,0.0,0.2329538119345081,32
remove_export self context volume ,1.0,0.21128035173994347,33
ensure_export self context volume ,1.0,0.20526479107198822,34
self _ensure_iscsi_targets context volume [ <STR> ] ,1.0,0.20526479107198822,35
copy_volume_to_image self context volume image_service image_meta ,0.0,0.20526479107198822,36
create_export self context volume ,1.0,0.20526479107198822,37
target iqn lun device ,0.0,0.19764377039894704,38
self mox StubOutWithMock os path <STR> ,1.0,0.19212846317313545,39
device size dict_of_devices_sizes iteritems ,0.0,0.18875295595587258,40
under the License ,1.0,0.1873634157056674,41
context ,0.0,0.1871519696541633,42
self drv copy_volume_to_image context TEST_VOLUME TEST_IMAGE_SERVICE ,0.0,0.1871519696541633,43
image_utils upload_volume context TEST_IMAGE_SERVICE ,0.0,0.1871519696541633,44
param context ,0.0,0.1871519696541633,45
image_utils upload_volume context ,0.0,0.1871519696541633,46
image_utils fetch_to_raw context TEST_IMAGE_SERVICE ,1.0,0.1871519696541633,47
image_utils fetch_to_raw context ,1.0,0.1871519696541633,48
LOG info <STR> % volume [ <STR> ] device ,0.0,0.18170786280212312,49
LOG = logging getLogger __ name__ ,1.0,0.17375658615779935,50
image_id ,0.0,0.16961850743309612,51
terminate_connection self volume connector * * kwargs ,0.0,0.16239327942168608,52
cinder brick iscsi iscsi ,1.0,0.1575603908992991,53
cinder db sqlalchemy api ,1.0,0.15325914877377292,54
path = volume [ <STR> ] split <STR> ,0.0,0.14754057337077187,55
iscsi_target = <NUM> # NOTE jdg Not used by tgtadm ,1.0,0.14404791829873936,56
cinder image image_utils ,1.0,0.13795435815860912,57
device = self find_appropriate_size_device volume [ <STR> ] ,0.0,0.13529217069114471,58
<STR> Synchronously recreates an export a logical volume ,0.0,0.13332530662680742,59
path [ <NUM> ] ,1.0,0.12942775195294695,60
path = self drv local_path TEST_VOLUME<NUM> AndReturn <STR> ,0.0,0.12942775195294695,61
os path ,1.0,0.12942775195294695,62
os path exists dev_path ,1.0,0.12942775195294695,63
cinder utils ,1.0,0.12833284626736555,64
<STR> % ip self configuration iscsi_port ,1.0,0.12411679730053073,65
self _copy_volume self local_path src_vref device ,1.0,0.12389992099182132,66
device = self find_appropriate_size_device src_vref [ <STR> ] ,0.0,0.12389992099182132,67
device free_devices ,0.0,0.11717934927341149,68
