total_tokens,line_level_label,line_score,row
self app = FakeDirectCMODEServerHandler sock <STR> None ,0.0,1.0,1
cinder context ,1.0,0.21074041713441238,2
ctxt = context get_admin_context ,1.0,0.21074041713441238,3
cinder volume configuration conf ,1.0,0.0678098596055986,4
test_map [ ] [ <NUM> ] <STR> ,0.0,0.0,5
record_step = <NUM> tag = None ,0.0,0.0,6
param des_result desired result ,1.0,0.0,7
<STR> ,1.0,0.0,8
vol_max = self ssc_vols [ <STR> ] ,1.0,0.0,9
refresh_ssc_vols self vols ,0.0,0.0,10
raid_info ,0.0,0.0,11
headers ,0.0,0.0,12
na_server IgnoreArg AndReturn raid<NUM> ,0.0,0.0,13
vserver = args [ <NUM> ] ,0.0,0.0,14
- <NUM> ,0.0,0.0,15
param volume volume reference ,0.0,0.0,16
space total_available * nfs_oversub_ratio to ensure enough space ,0.0,0.0,17
dedup_vols add vol ,0.0,0.0,18
text value case no NaElement node ,0.0,0.0,19
eff_disk_type = query_aggr_storage_disk na_server aggr_name ,1.0,0.0,20
< space - guarantee - enabled > enabled < / space - guarantee - enabled > ,0.0,0.0,21
self [ <STR> ] ,0.0,0.0,22
specs None specs ,0.0,0.0,23
% <STR> ] ,1.0,0.0,24
<STR> Sets the attribute a thread safe manner ,0.0,0.0,25
* * <STR> size ,1.0,0.0,26
backend <STR> None None ,0.0,0.0,27
use this file compliance the License You may obtain ,1.0,0.0,28
RESPONSE_PREFIX_DIRECT_CMODE = <STR> < ? xml version = <STR> ? > ,0.0,0.0,29
% <STR> vserver ,1.0,0.0,30
des_result ,1.0,0.0,31
msg =_ <STR> ,1.0,0.0,32
< / volume - space - attributes > ,0.0,0.0,33
api_family = <STR> ,1.0,0.0,34
def_is_share_eligible self nfs_share volume_size_in_gib ,0.0,0.0,35
<STR> [ self vol<NUM> self vol<NUM> ] ,0.0,0.0,36
vol<NUM> aggr [ <STR> ,0.0,0.0,37
junction = sh split <STR> [ <NUM> ] ,0.0,0.0,38
param nfs_share nfs share ,0.0,0.0,39
< space - guarantee > volume < / space - guarantee > ,0.0,0.0,40
compress_vols add vol ,0.0,0.0,41
res_map = ssc_utils get_cluster_ssc na_server vserver ,1.0,0.0,42
query = <STR> None ,1.0,0.0,43
compress_vols = ,0.0,0.0,44
k = = <STR> vol mirror [ <STR> ] ,1.0,0.0,45
test_cl_vols_ssc_single self ,0.0,0.0,46
aggr_attribs = ssc_utils query_aggr_options na_server <STR> ,0.0,0.0,47
StringIO ,0.0,0.0,48
FakeHttplibSocket ,0.0,0.0,49
request self method path data = None headers = None ,0.0,0.0,50
vim tabstop = <NUM> shiftwidth = <NUM> softtabstop = <NUM> ,0.0,0.0,51
BaseHTTPServer ,0.0,0.0,52
specs = None ,0.0,0.0,53
result = ssc_vols [ <STR> ] ,1.0,0.0,54
tag = request tag ,0.0,0.0,55
<STR> ,0.0,0.0,56
< / volume - attributes > ,0.0,0.0,57
self_size_avl None other_size_avl None ,0.0,0.0,58
sis_vols [ vol ] = v_sis ,1.0,0.0,59
