total_tokens,line_level_label,line_score,row
instance = instance ,1.0,1.0,1
instance = instance ,1.0,1.0,2
update self context volume_id fields ,1.0,0.6951588223537285,3
update self context volume fields ,0.0,0.6951588223537285,4
args = context volume_id kwargs get <STR> ,0.0,0.666868202018852,5
args = context volume kwargs get <STR> ,0.0,0.666868202018852,6
<STR> Transforms the exception the snapshot but keeps its traceback ,0.0,0.6589476595984496,7
<STR> Transform the exception the volume but keep its traceback ,0.0,0.6589476595984496,8
<STR> Transform the exception the snapshot but keep its traceback ,0.0,0.6589476595984496,9
<STR> Transforms the exception the volume but keeps its traceback intact ,0.0,0.6589476595984496,10
res = method self ctx volume_id * args * * kwargs ,0.0,0.5134262378550171,11
res = method self ctx snapshot_id * args * * kwargs ,0.0,0.5134262378550171,12
wrapper self ctx snapshot_id * args * * kwargs ,0.0,0.47745481237484366,13
wrapper self ctx volume_id * args * * kwargs ,0.0,0.47745481237484366,14
item = cinderclient context volume_snapshots create volume [ <STR> ] ,0.0,0.4434009168474099,15
item = cinderclient context volume_snapshots create volume_id ,1.0,0.4434009168474099,16
create_snapshot self context volume_id name description = None ,1.0,0.4330610865623035,17
stub_snapshot_create self context volume_id name description ,1.0,0.4330610865623035,18
create_snapshot_force self context volume_id name description ,1.0,0.4330610865623035,19
context volume name volume [ <STR> ] ,1.0,0.4330610865623035,20
create_snapshot self context volume name description ,0.0,0.4330610865623035,21
create_snapshot self context volume_id name description ,1.0,0.4330610865623035,22
create_snapshot self context volume name description = None ,0.0,0.4330610865623035,23
create_snapshot_force self context volume name description ,0.0,0.4330610865623035,24
stub_snapshot_create self context volume name description ,0.0,0.4330610865623035,25
volume = self volume_api get ctxt bdm [ <STR> ] ,1.0,0.25275550313408157,26
self volume_api terminate_connection ctxt bdm [ <STR> ] ,1.0,0.25275550313408157,27
self volume_api terminate_connection ctxt volume connector ,1.0,0.25275550313408157,28
stub_snapshot <NUM> volume_id = volume [ <STR> ] display_name = name ,0.0,0.2436476969182951,29
stub_snapshot <NUM> volume_id = volume_id display_name = name ,0.0,0.2436476969182951,30
called [ <STR> ] = ,1.0,0.21506521599637762,31
self assertTrue called get <STR> ,1.0,0.21506521599637762,32
kwargs get <STR> ,0.0,0.20346852543995836,33
vol = self volume_api get context ,1.0,0.1894133896440084,34
return_untranslate_volume_summary_view context item ,0.0,0.1894133896440084,35
delete self context volume_id ,1.0,0.1894133896440084,36
delete self context volume ,1.0,0.1894133896440084,37
roll_detaching self context volume_id ,1.0,0.1894133896440084,38
delete_snapshot self context snapshot ,0.0,0.1894133896440084,39
context volume connector ,0.0,0.1894133896440084,40
fake_volume_get self context volume_id ,1.0,0.1894133896440084,41
reserve_volume self context volume ,1.0,0.1894133896440084,42
self volume_api attach self context vol ,1.0,0.1894133896440084,43
cinderclient context volumes delete volume [ <STR> ] ,0.0,0.1894133896440084,44
volume = self volume_api get context bdm [ <STR> ] ,1.0,0.1894133896440084,45
self volume_api detach context volume ,1.0,0.1894133896440084,46
self volume_api unreserve_volume context volume ,1.0,0.1894133896440084,47
stub_snapshot_delete self context snapshot_id ,0.0,0.1894133896440084,48
cinderclient context volumes attach volume [ <STR> ] ,1.0,0.1894133896440084,49
cinderclient context volumes reserve volume [ <STR> ] ,0.0,0.1894133896440084,50
volume = self get context volume_id ,1.0,0.1894133896440084,51
self volume_api attach context volume_id instance_uuid mountpoint ,1.0,0.1894133896440084,52
create_snapshot_force self context volume ,1.0,0.1894133896440084,53
self volume_api delete context bdm [ <STR> ] ,1.0,0.1894133896440084,54
cinderclient context volumes delete volume_id ,1.0,0.1894133896440084,55
self volume_api delete context ,1.0,0.1894133896440084,56
item = cinderclient context volume_snapshots get snapshot_id ,0.0,0.1894133896440084,57
