total_tokens,line_level_label,line_score,row
StrOpt The name of the physical_network managed via the Cisco Nexus Switch ,0.0,1.0,1
param cidr cidr address of subnetwork to be created ,0.0,0.9158617876798377,2
param cidr cidr address of subnetwork to be created ,0.0,0.9158617876798377,3
param name Name of network to be created ,0.0,0.7664244632891051,4
param name Name of network to be created ,0.0,0.7664244632891051,5
param do_delete If to delete the port at the ,0.0,0.7397588620460136,6
Create a network subnet port then update port the result ,1.0,0.5771910397710535,7
This string value must be present the ml<NUM>_conf ini network_vlan_ranges ,0.0,0.5026358345180113,8
res = self _create_port self fmt net_id arg_list = args ,0.0,0.4563754490909725,9
host_id = context current get portbindings HOST_ID ,1.0,0.44959891314753064,10
end of testing ,0.0,0.448921568072189,11
context bound_segment get api SEGMENTATION_ID ,1.0,0.4342729328478441,12
ctx = context get_admin_context ,1.0,0.4218769907631101,13
context = ctx * * port_dict ,0.0,0.4218769907631101,14
neutron API request matches the HTTP status corresponding ,0.0,0.40898550788549004,15
<STR> Confirm that an HTTP status corresponds to an expected exception ,0.0,0.4045736754233142,16
param device_id Device ID to use port to be created ,0.0,0.39738884932809626,17
param device_id Device ID to use port to be created / updated ,0.0,0.39738884932809626,18
param host_id Host ID to use port create / update ,0.0,0.38223906005630226,19
segment = context bound_segment ,1.0,0.3798105116613103,20
Create a network subnet port the result ,1.0,0.3689168309722269,21
<STR> Map a Cisco exception to the HTTP status equivalent ,0.0,0.34895370318432967,22
instance_id = context current get <STR> ,1.0,0.3445568872633609,23
port = context current ,1.0,0.31880772232054183,24
port = context current ,1.0,0.31880772232054183,25
res = self _create_port self fmt net_id ,1.0,0.3181233498037795,26
create_port_postcommit self context ,1.0,0.3000631209723132,27
self _invoke_nexus_on_port_event context instance_id ,1.0,0.2900944660768272,28
self _invoke_nexus_on_port_event context ,0.0,0.2900944660768272,29
def_invoke_nexus_on_port_event self context instance_id ,1.0,0.2900944660768272,30
def_get_vlanid self context ,1.0,0.2900944660768272,31
old_port = context original ,0.0,0.2900944660768272,32
def_mock_get_vlanid context ,0.0,0.2900944660768272,33
self _is_deviceowner_compute context current ,1.0,0.2900944660768272,34
def_invoke_nexus_on_port_event self context ,0.0,0.2900944660768272,35
Confirm that an HTTP status which has been returned an ,0.0,0.2881558510159031,36
neutron extensions portbindings ,1.0,0.28493486545889396,37
to an expected exception ,1.0,0.26567666518876193,38
def_create_port_res self name = <STR> cidr = CIDR_<NUM> ,1.0,0.24794745430571782,39
args = portbindings HOST_ID <STR> ,0.0,0.2432941251714761,40
host = serv __ getattr__ <STR> ,0.0,0.24166038673515983,41
port = self deserialize self fmt res ,1.0,0.22825327402812984,42
def__ init__ self device_id host_name network_context ,0.0,0.20812826313129848,43
mock_status = mock patch ,1.0,0.204917099534088,44
mock_host = mock patch ,1.0,0.204917099534088,45
mock patch mech_cisco_nexus CiscoNexusMechanismDriver ,1.0,0.204917099534088,46
mock_vlanid = mock patch ,1.0,0.204917099534088,47
network_segments = network_context network_segments ,0.0,0.1874905758794007,48
serv = nc servers get instance_id ,0.0,0.17626297422041826,49
cfg StrOpt <STR> default = None ,0.0,0.16758924623681346,50
neutron common constants n_const ,1.0,0.16421195011706233,51
self _create_port_res name = <STR> cidr = CIDR_<NUM> ,1.0,0.16254845447622712,52
portbindings HOST_ID host_name ,1.0,0.15882638685504147,53
def_create_resources self name = <STR> cidr = CIDR_<NUM> ,1.0,0.1553185353287204,54
self _create_resources name = <STR> cidr = CIDR_<NUM> ,1.0,0.1553185353287204,55
def__ init__ self device_id network_context ,0.0,0.15434390216042665,56
<STR> start ,0.0,0.14978111740442027,57
<STR> start ,0.0,0.14978111740442027,58
param status HTTP status ,0.0,0.14564005215879483,59
neutron_context = ctx ,0.0,0.1317825246862829,60
expected_http = wexc HTTPOk code ,0.0,0.11618254755668914,61
param expected_exception Expected HTTP code ,0.0,0.10980101901944986,62
port_dict = portbindings HOST_ID host_id ,1.0,0.1050420258842138,63
LOG debug _ <STR> ,1.0,0.09913308809640696,64
self assertEqual status expected_http ,0.0,0.098728695949733,65
self _create_port_res name = <STR> do_delete = res ,0.0,0.09499947754396804,66
self _create_port_res name = <STR> res ,1.0,0.09499947754396804,67
testtools ExpectedException exceptions NexusPortBindingNotFound ,0.0,0.09466964529283929,68
testtools ExpectedException ,0.0,0.09466964529283929,69
network_segments [ <NUM> ] [ <STR> ] ,0.0,0.09374528793972989,70
self _segment = network_context network_segments ,1.0,0.09374528793972989,71
bound_segment self ,1.0,0.08971604558457894,72
name = <STR> ,1.0,0.08776955839643964,73
self _create_resources name = <STR> device_id = DEVICE_ID_<NUM> ,1.0,0.08776955839643964,74
self _create_resources name = <STR> ,1.0,0.08776955839643964,75
keystone_conf admin_password ,0.0,0.07444884546099381,76
