total_tokens,line_level_label,line_score,row
cmd = commands ClearProbe self app None ,1.0,0.9999999999999999,1
self app debug_agent = QuantumDebugAgent cfg CONF ,1.0,0.9999999999999999,2
cmd = commands CreateProbe self app None ,1.0,0.9999999999999999,3
cmd = commands ListProbe self app None ,1.0,0.9999999999999999,4
self app debug_agent ,1.0,0.9999999999999999,5
cmd = commands ExecProbe self app None ,1.0,0.9999999999999999,6
self app stdout write result + <STR> ,1.0,0.9999999999999999,7
cmd = commands DeleteProbe self app None ,1.0,0.9999999999999999,8
self app stdout write _ <STR> ,1.0,0.9999999999999999,9
self app = MyApp mock_std ,1.0,0.9999999999999999,10
cmd = commands PingAll self app None ,1.0,0.9999999999999999,11
info = ports get <STR> [ ] ,1.0,0.6168256275320405,12
def_get_network self network_id ,1.0,0.0,13
parser = QuantumDebugShell self build_option_parser ,1.0,0.0,14
fixed_ip subnet = self _get_subnet fixed_ip subnet_id ,1.0,0.0,15
get_debug_agent self ,1.0,0.0,16
exec_command self port_id command = None ,1.0,0.0,17
All Rights Reserved ,1.0,0.0,18
mock_std = mock Mock ,1.0,0.0,19
Configure ,1.0,0.0,20
def__ init__ self _stdout ,1.0,0.0,21
self addCleanup mock patch stopall ,1.0,0.0,22
namespace = namespace ,1.0,0.0,23
mock call show_subnet <STR> ] ,1.0,0.0,24
setUp self ,1.0,0.0,25
quantumclient common exceptions exc ,1.0,0.0,26
timeout ,0.0,0.0,27
def_get_subnet self subnet_id ,1.0,0.0,28
COMMANDS = <STR> COMMAND_V<NUM> ,1.0,0.0,29
port [ <STR> ] = self driver get_device_name DictModel port ,1.0,0.0,30
client_inst show_subnet return_value = fake_subnet_v<NUM> ,1.0,0.0,31
namespace = self _get_namespace port ,1.0,0.0,32
quantum agent linux ip_lib ,1.0,0.0,33
s columns formatters = self _formatters ,1.0,0.0,34
fake_ports = self fake_ports ,1.0,0.0,35
vim tabstop = <NUM> shiftwidth = <NUM> softtabstop = <NUM> ,1.0,0.0,36
PingAll ProbeCommand ,1.0,0.0,37
namespace_p = mock patch ,1.0,0.0,38
test_delete_probe self ,1.0,0.0,39
mock_driver DEV_NAME_LEN = ,1.0,0.0,40
self client delete_port port ,1.0,0.0,41
The port probe ,1.0,0.0,42
probe = self ensure_probe port [ <STR> ] ,1.0,0.0,43
<STR> ] ,1.0,0.0,44
parsed_args = cmd_parser parse_args args ,1.0,0.0,45
device_owner = DEVICE_OWNER_PROBE ,1.0,0.0,46
cliff ,0.0,0.0,47
namespace = namespace ,1.0,0.0,48
DictModel info [ <NUM> ] ,1.0,0.0,49
ports = self client list_ports [ <STR> ] ,1.0,0.0,50
quantum debug shell main ,1.0,0.0,51
create_probe self network_id ,1.0,0.0,52
ensure_probe self network_id ,1.0,0.0,53
s info ,1.0,0.0,54
quantumclient common utils ,1.0,0.0,55
sys ,1.0,0.0,56
self client assert_has_calls [ mock call list_ports ,1.0,0.0,57
info = ports [ <STR> ] ,1.0,0.0,58
network = self _get_network network_id ,1.0,0.0,59
get_parser self prog_name ,1.0,0.0,60
