total_tokens,line_level_label,line_score,row
License the specific language governing permissions limitations ,1.0,1.0,1
a copy of the License at ,1.0,0.8160373643322505,2
Unless required by applicable law agreed to writing software ,1.0,0.7218482745440941,3
use this file compliance the License You may obtain ,1.0,0.6871890033227998,4
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.657138739750148,5
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.6191109084493642,6
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.5901301113824065,7
nova openstack common log logging ,1.0,0.42167578678506806,8
instance = common get_instance self compute_api context ,0.0,0.4050129562573329,9
instance = common get_instance self compute_api context ,0.0,0.4050129562573329,10
self compute_api method self context instance * args ,1.0,0.4035200401374399,11
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.3975289877676097,12
self app = fakes wsgi_app_v<NUM> init_only = <STR> ,1.0,0.35876320578259563,13
self compute_api resize self context instance AndRaise exc_info ,1.0,0.34928829693714436,14
self compute_api resize self context instance AndRaise exc_info ,0.0,0.34928829693714436,15
fake_live_migrate _self context instance scheduler_hint ,0.0,0.34255471776825663,16
fake_live_migrate _self context instance scheduler_hint ,0.0,0.34255471776825663,17
args kwargs = compute_api_args_map get action ,1.0,0.322869172638076,18
self compute_api live_migrate context instance block_migration ,0.0,0.3180253613302827,19
self compute_api live_migrate self context instance ,1.0,0.3180253613302827,20
self compute_api live_migrate self context instance ,1.0,0.3180253613302827,21
self compute_api method self context instance AndRaise ,1.0,0.3180253613302827,22
self compute_api method self context instance ,1.0,0.3180253613302827,23
self compute_api live_migrate context instance block_migration ,0.0,0.3180253613302827,24
This method creates the server that will be used each tests ,0.0,0.2980156344632566,25
fake_auth_context = self context ,1.0,0.2817831647541084,26
context = req environ [ <STR> ] ,1.0,0.2646734544833851,27
context = req environ [ <STR> ] ,0.0,0.2646734544833851,28
def__ init__ self * args * * kwargs ,0.0,0.25627675040683123,29
authorize context action_name ,0.0,0.2507842695509417,30
under the License ,1.0,0.24918811204301497,31
fake_get_compute context host ,0.0,0.2385533307918976,32
extensions extension_authorizer <STR> action context ,0.0,0.2385533307918976,33
fake_get_compute context host ,0.0,0.2385533307918976,34
authorize context <STR> ,0.0,0.2385533307918976,35
authorize context <STR> ,0.0,0.2385533307918976,36
def_fake_controller * args * * kwargs ,1.0,0.21293915173117692,37
MigrateServerController self __ init__ * args * * kwargs ,0.0,0.21293915173117692,38
webob exc ,1.0,0.21215972511438028,39
version = <NUM> ,0.0,0.20658782461168188,40
self stubs Set db <STR> fake_get_compute ,0.0,0.1723500132508066,41
self stubs Set db <STR> fake_get_compute ,0.0,0.1723500132508066,42
uuid = uuidutils generate_uuid ,0.0,0.14974679318921374,43
uuid = uuidutils generate_uuid ,1.0,0.14974679318921374,44
nova openstack common gettextutils _ ,1.0,0.14810450224241542,45
nova conductor manager conductor_manager ,0.0,0.14414330467079414,46
nova conductor manager conductor_manager ,0.0,0.14414330467079414,47
webob Response status_int = <NUM> ,0.0,0.14374936811483616,48
webob ,1.0,0.14374936811483616,49
