total_tokens,line_level_label,line_score,row
on the <NUM>PAR array Set the following the cinder conf file to enable the ,1.0,0.9999999999999999,1
correspond to the of remote wwn s that will export the volume ,0.0,0.8472646424759949,2
License the specific language governing permissions limitations ,1.0,0.7733345795151291,3
Unless required by applicable law agreed to writing software ,1.0,0.6697734418834161,4
The drivers requires the use of the san_ip san_login ,0.0,0.6306572019498271,5
This driver requires the use of the san_ip san_login ,0.0,0.6095600168723616,6
a copy of the License at ,1.0,0.6057337555165095,7
use this file compliance the License You may obtain ,1.0,0.5649900665346019,8
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.46762366851863196,9
* Create a VLUN that HOST the volume we want to export ,0.0,0.4239975321225532,10
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.4114945321439806,11
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.4070632172336947,12
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.39065390017253554,13
* Create a host on the <NUM>par the target wwn ,0.0,0.3814359329526132,14
TODO support using the size the user ,0.0,0.3762445372232372,15
The drivers uses both the REST service the SSH ,0.0,0.35101525318588717,16
The driver uses both the REST service the SSH ,0.0,0.3299180681083578,17
<STR> Assigns the volume to a server ,0.0,0.3261871514571708,18
Assign created volume to a compute node / host so that it can be ,0.0,0.31691453717587387,19
HP<NUM>PARFCDriver self __ init__ * args * * kwargs ,0.0,0.2965614752367428,20
Driver entry point to unattach a volume an instance ,0.0,0.2958929930256728,21
cinder openstack common log logging ,1.0,0.2870647928392993,22
The <NUM>PAR drivers requires <NUM> <NUM> <NUM> firmware on the <NUM>PAR array ,1.0,0.2815915486464644,23
The target_wwn can be a single entry a of wwns that ,0.0,0.278910501764282,24
The driver returns a driver_volume_type of <STR> ,0.0,0.2687026324221229,25
This driver requires <NUM> <NUM> <NUM> firmware on the <NUM>PAR array ,1.0,0.260494363568935,26
def__ init__ self * args * * kwargs ,1.0,0.25345589104820937,27
metadata = self common create_volume volume self client FLAGS ,1.0,0.24208535769239897,28
create_export self context volume ,1.0,0.23481428648918742,29
Steps to export a volume on <NUM>PAR ,0.0,0.23007088532346762,30
cinder openstack common cfg ,1.0,0.20668820262840873,31
volume = self volume copy ,1.0,0.20443682739565844,32
remove_export self context volume ,1.0,0.18999926971175213,33
