total_tokens,line_level_label,line_score,row
self stubs Set os path <STR> x ,1.0,1.0,1
connection_info = self iscsi_connection vol location iqn ,1.0,0.8368169267613057,2
[ line split [ <NUM> ] line output splitlines ] ,1.0,0.7235969964056248,3
cfg BoolOpt <STR> ,1.0,0.6689661584653559,4
conf = libvirt_driver connect_volume connection_info disk_info ,1.0,0.6281134177618274,5
<STR> line ] # ignore udev errors ,0.0,0.6179799193608858,6
iscsi_properties get <STR> ,1.0,0.5755446089374904,7
iscsi_properties get <STR> <NUM> ,1.0,0.5755446089374904,8
self assertEqual tree get <STR> ,1.0,0.5755446089374904,9
iscsi_properties get <STR> <NUM> ,1.0,0.5755446089374904,10
iscsi_properties get <STR> ,1.0,0.5755446089374904,11
self stubs Set self fake_conn <STR> devs ,1.0,0.566881100873311,12
devices = [ dev dev self connection get_all_block_devices ,1.0,0.5304124106736685,13
exception ProcessExecutionError exc ,1.0,0.5075444853869508,14
exception ProcessExecutionError exc ,1.0,0.5075444853869508,15
tree = conf format_dom ,1.0,0.4939436730607391,16
[ entry entry os walk <STR> [ <NUM> ] [ - <NUM> ] ,0.0,0.48919796101190066,17
device = os path realpath single_path_device ,0.0,0.4778038985386451,18
entry_real_path = os path realpath <STR> % entry ,1.0,0.47206101980502857,19
def_get_target_portals_from_iscsiadm_output self output ,1.0,0.46505761838536486,20
dev_str = <STR> % location iqn ,1.0,0.4558414575030069,21
default = ,0.0,0.39521857820437967,22
entries = self _get_iscsi_devices ,1.0,0.3847947187568797,23
exc exit_code [ <NUM> <NUM> ] ,1.0,0.3526153455061112,24
exc exit_code [ <NUM> <NUM> ] ,1.0,0.3526153455061112,25
LOG debug <STR> % ,1.0,0.3212316301128546,26
location = <STR> ,1.0,0.29995109612743825,27
self _rescan_iscsi ,1.0,0.27725861280060715,28
mpath_line = [ line line out splitlines ,1.0,0.25853937802052623,29
props = iscsi_properties copy ,0.0,0.2578234234593735,30
vol = <STR> name ,1.0,0.2564068895789605,31
device devices ] ,1.0,0.23249251990728892,32
def_run_multipath self multipath_command * * kwargs ,0.0,0.228715116941122,33
check_exit_code = kwargs pop <STR> <NUM> ,0.0,0.228715116941122,34
def_run_iscsiadm_bare self iscsi_command * * kwargs ,0.0,0.228715116941122,35
self _disconnect_mpath iscsi_properties ,1.0,0.19931808290568004,36
devices ,1.0,0.18780752049510438,37
iqn = <STR> % name ,1.0,0.15589036137588191,38
exception ProcessExecutionError err ,1.0,0.15492913988104326,39
libvirt_driver disconnect_volume connection_info <STR> ,1.0,0.1535846022287189,40
self _rescan_multipath ,1.0,0.14413648358236306,41
def_disconnect_mpath self iscsi_properties ,1.0,0.13528583687429876,42
libvirt_driver = volume LibvirtISCSIVolumeDriver self fake_conn ,1.0,0.1336496927727921,43
nova / virt / libvirt / volume py <STR> ,1.0,0.1336496927727921,44
connection_info [ <STR> ] = mpdev_filepath ,1.0,0.12456857967916789,45
<STR> connection_info [ <STR> ] ,1.0,0.12456857967916789,46
run_as_root = ,0.0,0.08690757479098314,47
multipath CommandFilter / sbin / multipath root ,1.0,0.055445652207441236,48
host_device = multipath_device ,1.0,0.047560789676434324,49
multipath_device None ,1.0,0.047560789676434324,50
entry_multipath = = multipath_device ,1.0,0.047560789676434324,51
def_get_multipath_iqn self multipath_device ,1.0,0.047560789676434324,52
multipath_device = self _get_multipath_device_name host_device ,1.0,0.047560789676434324,53
p out splitlines p startswith <STR> ] ,0.0,0.046320162871765984,54
<STR> dev ] ,1.0,0.04573528832470852,55
device ] ,1.0,0.04468499941218456,56
