total_tokens,line_level_label,line_score,row
See the License the specific language governing permissions ,1.0,1.0,1
You may obtain a copy of the License at ,1.0,0.7133015397187891,2
Unless required by applicable law agreed to writing software ,1.0,0.7040335139987571,3
distributed under the License distributed on an <STR> BASIS ,1.0,0.6231730413517436,4
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.55387392533452,5
limitations under the License ,1.0,0.5470276744780775,6
StrOpt Location of CA certificates file to use CRD client ,0.0,0.5082154393409334,7
you may use this file compliance the License ,1.0,0.46835911605178726,8
@ log log ,0.0,0.4546762567543196,9
neutron openstack common log logging ,1.0,0.425147048282954,10
In [ ml<NUM> ] section of / etc / neutron / plugins / ml<NUM> / ml<NUM>_conf ini ,0.0,0.37275930984820604,11
Licensed under the Apache License Version <NUM> <NUM> the <STR> ,1.0,0.3679872919688565,12
It supports the Cloud Resource Discovery CRD service by updating ,0.0,0.3648368908939046,13
neutron common log ,1.0,0.35964779748658665,14
port_context = self _get_port_context tenant_id network_id port_id ,0.0,0.34945291021624925,15
Freescale SDN FSL - SDN Mechanism Driver an add - on support ML<NUM> plugin ,0.0,0.26913854133062504,16
CRD service must be running the controller ,0.0,0.2664174897501155,17
calls context set_binding binding details ,0.0,0.26259272420498686,18
segments = context network_segments ,1.0,0.24803093038397295,19
Register the configuration option crd service ,1.0,0.24485448220584952,20
Freescale SDN mechanism driver handles VM port binding within the ,0.0,0.24315430082862224,21
def__ init__ self network segments ,1.0,0.20648811479800763,22
Supported network types by FSL OF Controller include vlan vxlan ,0.0,0.20387585306739311,23
LOG = logging getLogger __ name__ ,1.0,0.20231947667253747,24
Freescale Mechanism driver handles the following postcommit operations ,0.0,0.19844367360106915,25
<STR> port_id ,0.0,0.19394366673616636,26
port_id = <STR> ,0.0,0.19394366673616636,27
def_get_port_context self tenant_id net_id port_id ,0.0,0.19394366673616636,28
<STR> function verifies the supported network types vlan vxlan ,0.0,0.18839204124611567,29
context set_binding segment [ api ID ] ,0.0,0.18512073486717512,30
WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND either express ,1.0,0.1831527650657308,31
IntOpt Timeout value connecting to CRD service ,0.0,0.18232580222103503,32
Network Subnet Port Create / Update / Delete data into the CRD database ,0.0,0.17819422138755012,33
context e g keystone ,0.0,0.17453300661286977,34
port = context current ,0.0,0.1742682892898236,35
- Network create / update / delete ,0.0,0.17400257571264918,36
- Subnet create / update / delete ,0.0,0.17400257571264918,37
StrOpt Authorization strategy connecting to CRD admin ,0.0,0.17033032002755152,38
update_network_postcommit self context ,0.0,0.1698589978192452,39
create_subnet_postcommit self context ,0.0,0.1698589978192452,40
delete_subnet_postcommit self context ,0.0,0.1698589978192452,41
delete_port_postcommit self context ,0.0,0.1698589978192452,42
network = context current ,0.0,0.1698589978192452,43
create_network_postcommit self context ,0.0,0.1698589978192452,44
update_subnet_postcommit self context ,0.0,0.1698589978192452,45
delete_network_postcommit self context ,0.0,0.1698589978192452,46
admin context e g RegionOne ,0.0,0.1698589978192452,47
bind_port self context ,0.0,0.1698589978192452,48
subnet = context current ,0.0,0.1698589978192452,49
segment context network network_segments ,1.0,0.1698589978192452,50
create_port_postcommit self context ,0.0,0.1698589978192452,51
How to use Freescale SDN Mechanism Driver ? ,0.0,0.16879854914553766,52
cfg CONF set_override <STR> ,1.0,0.1636789971983038,53
CRD service options required FSL SDN OS Mech Driver ,1.0,0.1595622300294909,54
<STR> network_id ,1.0,0.15550924348008294,55
network_id = <STR> ,0.0,0.15550924348008294,56
network_context = self _get_network_context tenant_id network_id ,0.0,0.15550924348008294,57
<STR> network_id ,1.0,0.15550924348008294,58
subnet_context = self _get_subnet_context tenant_id network_id ,0.0,0.15550924348008294,59
crd_auth_url = http / / <NUM> <NUM> <NUM> <NUM> <NUM> / v<NUM> <NUM> / ,0.0,0.14219885184203074,60
crd_url = http / / <NUM> <NUM> <NUM> <NUM> <NUM> ,0.0,0.14219885184203074,61
e g http / / <NUM> <NUM> <NUM> <NUM> <NUM> ,0.0,0.14219885184203074,62
e g http / / <NUM> <NUM> <NUM> <NUM> <NUM> / v<NUM> <NUM> / ,0.0,0.14219885184203074,63
body = self _prepare_crd_network network segments ,0.0,0.14022886903650347,64
mock patch mechanism_fslsdn FslsdnMechanismDriver ,0.0,0.13907951212103176,65
neutron plugins common constants ,1.0,0.13338544912223815,66
neutron common constants n_const ,1.0,0.13230966910947337,67
StrOpt User name authentication to CRD ,0.0,0.1296897113410212,68
StrOpt URL connecting to CRD Service ,0.0,0.1296897113410212,69
StrOpt Password authentication to CRD ,0.0,0.1296897113410212,70
StrOpt Region name connecting to CRD ,0.0,0.1296897113410212,71
req = self driver _prepare_crd_network network segments ,0.0,0.12877624554197686,72
def__ init__ self record ,0.0,0.1283161822332799,73
mechanism driver like ODL MD ,0.0,0.12743142073010405,74
self _crdclient update_network network [ <STR> ] body = body ,0.0,0.12411387294364445,75
self _crdclient create_network body = body ,0.0,0.12411387294364445,76
self _crdclient update_subnet subnet [ <STR> ] body = body ,0.0,0.12411387294364445,77
