total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,0.0,1.0,1
License the specific language governing permissions limitations ,0.0,0.7919361650087637,2
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,0.0,0.7805397788552835,3
a copy of the License at ,0.0,0.7570690098436361,4
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,0.0,0.7386925214063558,5
iSCSI the compute host to the storage host again assuming that an ,0.0,0.7279672016882642,6
cinder openstack common log logging ,1.0,0.7242903374222883,7
cinder openstack common log logging ,0.0,0.7242903374222883,8
the configuration file that contains the key stored on the disk ,0.0,0.7234807225439263,9
encrypted a key provided by this key manager actually share the same ,0.0,0.6236392968386354,10
use this file compliance the License You may obtain ,0.0,0.6213193878238396,11
key remains secret Using the volume encryption feature an example ,0.0,0.5590892265727913,12
distributed under the License distributed on an <STR> BASIS WITHOUT ,0.0,0.5537726186478871,13
Encryption also protects the confidentiality of data it transmitted via ,0.0,0.5532894860070526,14
attacker who intercepts the data does know the secret key ,0.0,0.5513787181076892,15
An implementation of a key manager that reads its key the project ' s ,0.0,0.5067141507823513,16
to invocations of create_key Side effects e g raising exceptions ,0.0,0.5002705921951672,17
This key manager implementation supports the methods specified by the ,0.0,0.48896133207891834,18
<STR> Retrieves the key identified by the specified ,0.0,0.48896133207891834,19
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,0.0,0.48138889169176413,20
context None a KeyError raised the UUID invalid ,0.0,0.4661222638550722,21
This implementation returns the key that associated the ,0.0,0.4617222239350399,22
Keys created one instance will be accessible other instances of ,0.0,0.45860655466113154,23
NotAuthorized exception raised the specified context None ,0.0,0.42290990528471784,24
encryption key so * * volume can be decrypted once the fixed key known ,0.0,0.4079416218614798,25
A mock implementation of a key manager that stores keys a dictionary ,0.0,0.3925815299880561,26
This implementation returns a UUID the created key A ,0.0,0.3776474814198451,27
A mock implementation of a key manager This module should NOT be used ,0.0,0.37663872763250833,28
particular it does store keys persistently Lack of a centralized key ,0.0,0.36764096548576536,29
each method are handled specified by the key manager interface ,0.0,0.3249475324327165,30
Test cases the conf key manager ,0.0,0.32044191019832224,31
Note Instantiating this multiple times will create separate key stores ,0.0,0.25629544262746745,32
cinder openstack common gettextutils _ ,0.0,0.2402731931976323,33
store also makes this implementation unsuitable use among different ,0.0,0.23852036741751562,34
cinder context ,0.0,0.23134498139151818,35
self ctxt = context RequestContext <STR> ,0.0,0.22304829077909222,36
<STR> Stores i e registers a key the key manager ,0.0,0.2100415374305283,37
under the License ,0.0,0.2100415374305283,38
specified UUID A NotAuthorized exception raised the specified ,0.0,0.2100415374305283,39
This key manager implementation provides limited security assuming that the ,0.0,0.2100415374305283,40
vim tabstop = <NUM> shiftwidth = <NUM> softtabstop = <NUM> ,0.0,0.20631862027795303,41
key_length = kwargs get <STR> <NUM> ,0.0,0.17476230565176593,42
key_length = kwargs get <STR> <NUM> ,0.0,0.17476230565176593,43
Fixed key returned by key manager specified string ,0.0,0.168911396750792,44
this ,0.0,0.1486114917290579,45
Because this implementation uses a single fixed key it proffers no ,0.0,0.1486114917290579,46
default = <STR> ,0.0,0.14543803029672034,47
default = <STR> ,0.0,0.14543803029672034,48
