total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,1.0,1.0,1
License the specific language governing permissions limitations ,1.0,0.8897217271869535,2
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.7592071468755834,3
a copy of the License at ,1.0,0.7469566170720261,4
nova openstack common log logging ,1.0,0.6577321067154458,5
networking storage of VMs compute hosts on which they run <STR> ,0.0,0.5534118319083787,6
networking storage of vms compute hosts on which they run <STR> ,0.0,0.5534118319083787,7
pool the <STR> state If a number of continuous requests fail ,0.0,0.5453975763177805,8
add_to_aggregate self context aggregate host * * kwargs ,1.0,0.5246346695224047,9
remove_from_aggregate self context aggregate host * * kwargs ,1.0,0.5046683894605278,10
aggregate the <STR> state If a number of continuous requests fail ,0.0,0.49372173426821225,11
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.48345918767206403,12
undo_aggregate_operation self context op aggregate_id ,1.0,0.4710513486030648,13
self _pool undo_aggregate_operation context op ,1.0,0.4710513486030648,14
def_undo_aggregate_operation self context op aggregate_id ,1.0,0.4710513486030648,15
op context aggregate_id host ,1.0,0.4710513486030648,16
op context aggregate_id host ,1.0,0.4710513486030648,17
A <STR> during the first request of ,0.0,0.4666402717830999,18
A <STR> during the first request of ,0.0,0.4666402717830999,19
use this file compliance the License You may obtain ,1.0,0.4514505751645084,20
pool being setup An pool may be <STR> which case the underlying ,1.0,0.4344918830752622,21
self compute_rpcapi remove_aggregate_host context ,1.0,0.42848235295389997,22
self compute_rpcapi remove_aggregate_host context ,1.0,0.42848235295389997,23
_ create_aggregate_with_hosts context = ctxt metadata = None ,1.0,0.4137140100504051,24
r<NUM> =_create_aggregate_with_hosts context = ctxt metadata = None ,1.0,0.4137140100504051,25
expected = self api remove_host_from_aggregate self context ,0.0,0.39761495461145746,26
expected = self api remove_host_from_aggregate self context ,1.0,0.39761495461145746,27
self compute_rpcapi add_aggregate_host context ,1.0,0.3930732583869886,28
self compute_rpcapi add_aggregate_host context ,1.0,0.3930732583869886,29
db aggregate_metadata_add self context result pool_flag ,1.0,0.39183806301701063,30
db aggregate_metadata_add self context result metadata ,1.0,0.39183806301701063,31
result = db aggregate_create self context values ,1.0,0.3851748087455586,32
pool being setup An aggregate may be <STR> which case the underlying ,1.0,0.3828160410256939,33
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.3817673101273437,34
self _is_hv_pool context aggregate ,1.0,0.3715393107274646,35
reason = invalid [ db aggregate_metadata_get context ,1.0,0.3669068877360316,36
self api remove_host_from_aggregate self context ,1.0,0.3646721909726727,37
aggr = self api create_aggregate self context ,1.0,0.3646721909726727,38
aggr = self api create_aggregate self context ,1.0,0.3646721909726727,39
self api delete_aggregate self context aggr [ <STR> ] ,1.0,0.3646721909726727,40
aggr = self api add_host_to_aggregate self context ,1.0,0.3646721909726727,41
self api add_host_to_aggregate self context ,1.0,0.3646721909726727,42
aggr = self api add_host_to_aggregate self context ,0.0,0.3646721909726727,43
self context result <STR> ,0.0,0.35718454605333483,44
aggregate = self db aggregate_get context aggregate_id ,1.0,0.356377088889844,45
excepted = db aggregate_get self context self aggr ,1.0,0.356377088889844,46
excepted = db aggregate_get self context self aggr ,1.0,0.356377088889844,47
db aggregate_metadata_add self context aggr [ <STR> ] metadata ,1.0,0.35370698622530794,48
db aggregate_metadata_add context aggregate metadata ,1.0,0.35370698622530794,49
db aggregate_metadata_add context aggregate ,1.0,0.35370698622530794,50
db aggregate_metadata_add self context self aggr metadata ,1.0,0.35370698622530794,51
db aggregate_metadata_add context aggregate_id metadata ,1.0,0.35370698622530794,52
self aggr = db aggregate_create self context values ,1.0,0.3470437319538559,53
db aggregate_update self context aggr [ <STR> ] status ,1.0,0.3464157651798969,54
self db aggregate_update context aggregate_id status ,1.0,0.3464157651798969,55
def_create_service_entries context values = <STR> ,1.0,0.3405095065148706,56
values =_create_service_entries self context ,1.0,0.3405095065148706,57
values =_create_service_entries self context ,1.0,0.3405095065148706,58
self db aggregate_update context aggregate_id values ,1.0,0.3405095065148706,59
db aggregate_update context aggregate values ,1.0,0.3405095065148706,60
self conn add_to_aggregate self context ,1.0,0.33901974932350887,61
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.33226866333985017,62
self driver undo_aggregate_operation context ,1.0,0.324279163200848,63
self context self aggr <STR> ,0.0,0.3190534692616321,64
self conn remove_from_aggregate self context ,1.0,0.3190534692616321,65
self get_aggregate context aggregate_id ,1.0,0.3190534692616321,66
self db aggregate_host_add context aggregate_id host ,1.0,0.3190534692616321,67
def_is_hv_pool self context aggregate_id ,1.0,0.3190534692616321,68
db service_create context ,1.0,0.3190534692616321,69
self get_aggregate context aggregate_id ,1.0,0.3190534692616321,70
db aggregate_metadata_get context aggregate [ pool_states KEY ] ,1.0,0.3190534692616321,71
self db aggregate_host_add context aggregate_id host ,1.0,0.3190534692616321,72
self context self aggr <STR> ,1.0,0.3190534692616321,73
db aggregate_update self context self aggr state ,1.0,0.3190534692616321,74
fake_driver_add_to_aggregate context aggregate host ,1.0,0.3190534692616321,75
self db aggregate_host_delete context aggregate_id host ,1.0,0.3190534692616321,76
db aggregate_host_add self context self aggr <STR> ,1.0,0.3190534692616321,77
self _undo_aggregate_operation context ,1.0,0.3190534692616321,78
fake_driver_remove_from_aggregate context aggregate host ,1.0,0.3190534692616321,79
stub_add_host_to_aggregate context aggregate host ,1.0,0.3190534692616321,80
_ create_service_entries self context <STR> ] ,1.0,0.3190534692616321,81
metadata = db aggregate_metadata_get context aggregate_id ,1.0,0.3190534692616321,82
db aggregate_host_add self context self aggr <STR> ,1.0,0.3190534692616321,83
self db aggregate_host_delete context aggregate_id host ,1.0,0.3190534692616321,84
master_compute = db aggregate_metadata_get context ,1.0,0.3190534692616321,85
