total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,1.0,1.0,1
License the specific language governing permissions limitations ,1.0,0.7745472355824473,2
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.6396470576934166,3
nova openstack common log logging ,1.0,0.6020452048956878,4
def_fetch_image self context image_id image_meta path ,0.0,0.5174913303376064,5
def_remove_image self context image_id image_meta path ,0.0,0.5174913303376064,6
def_can_handle_image self context image_meta location * * kwargs ,0.0,0.49680746557344674,7
self _can_handle_image context image_meta location * * kwargs ,0.0,0.49680746557344674,8
a copy of the License at ,1.0,0.4889688343593434,9
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.4859883352864718,10
- The image must be readable by the rados user available to nova ,0.0,0.4704986096386003,11
def_move_image self context image_id image_meta src_path dst_path ,0.0,0.46977217029754037,12
<STR> Returns the size of the virtual disk ,0.0,0.44820731430811867,13
<STR> Returns whether it makes sense to clone the image ,0.0,0.4231572950006682,14
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.41382995523499316,15
use this file compliance the License You may obtain ,1.0,0.4016572448038617,16
will clone images already stored rbd instead of downloading ,0.0,0.3896808418924728,17
nova openstack common excutils ,1.0,0.3801027899970029,18
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.37555668172552364,19
its name callers may pass a non - existent local file path ,0.0,0.32494788029667215,20
<STR> Convert a string to None the None ,1.0,0.3167235572387441,21
backend_type = kwargs get <STR> ,0.0,0.3121731838177033,22
rados_lib = kwargs get <STR> ,1.0,0.3121731838177033,23
backend_location = kwargs get <STR> ,0.0,0.3121731838177033,24
rbd_lib = kwargs get <STR> ,1.0,0.3121731838177033,25
dest_image = kwargs get <STR> ,0.0,0.3121731838177033,26
self mock_rbd RBD clone assert_called_once_with * args * * kwargs ,0.0,0.2754562173229541,27
def__ init__ self driver = None * args * * kwargs ,0.0,0.2703699213985334,28
This useful when a parameter None by default a string LibRBD ,1.0,0.2633128329253892,29
pool image = kwargs [ <STR> ] ,0.0,0.2516637473038064,30
only accepts hence the need conversion ,1.0,0.2451516974764932,31
If rbd the image backend this handler does nothing ,0.0,0.24472554256706525,32
os path exists base ,0.0,0.24466431546204181,33
RBDCloneImageHandler self __ init__ driver * args * * kwargs ,0.0,0.24122794529524247,34
If libvirt using rbd ephemeral / root disks this handler ,0.0,0.23772102618215454,35
nova openstack common units ,1.0,0.2270916050764727,36
nova openstack common gettextutils _ ,1.0,0.2270916050764727,37
exception ImageUnacceptable image_id = location reason = reason ,0.0,0.20242111069995333,38
dest_pool dest_image = kwargs [ <STR> ] ,0.0,0.20210420439715396,39
kwargs = <STR> self mock_rbd RBD_FEATURE_LAYERING ,1.0,0.20210420439715396,40
* * kwargs ,0.0,0.20210420439715396,41
