total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,1.0,1.0,1
License the specific language governing permissions limitations ,1.0,0.9996743568151915,2
You may obtain a copy of the License at ,1.0,0.9192651899827423,3
See the License the specific language governing permissions ,1.0,0.8779696206458407,4
a copy of the License at ,1.0,0.7916099024819503,5
use this file compliance the License You may obtain ,1.0,0.6741851580670271,6
you may use this file compliance the License ,1.0,0.6177419045077914,7
the routers are hosted on l<NUM> agents When the routers are ,0.0,0.5569576405716962,8
limitations under the License ,1.0,0.5419172720274502,9
neutron openstack common log logging ,1.0,0.5411857167195999,10
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.5173128078795692,11
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.4914245697993156,12
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.4905918555851346,13
a logging driver It stores the created resources on OFC returns ,0.0,0.4880286174528358,14
<STR> Notify the agents that are hosting the routers ,0.0,0.48760246319278744,15
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.4286713582081239,16
distributed under the License distributed on an <STR> BASIS ,1.0,0.4286713582081239,17
Licensed under the Apache License Version <NUM> <NUM> the <STR> ,1.0,0.42021253585820545,18
neutron common log call_log ,1.0,0.3969350530599763,19
res = self client post path body = body ,1.0,0.32926951378684466,20
ctx_elevated = context elevated ,1.0,0.32495819853494534,21
subnet = self plugin _get_subnet context fixed_ip [ <STR> ] ,1.0,0.32249758900064907,22
context ofc_tenant_id ,0.0,0.3133374013232287,23
ofc_tenant_id = self _get_ofc_id context <STR> tenant_id ,1.0,0.3133374013232287,24
Change to [ <STR> ] this migration applies to plugins ,1.0,0.3122055816056417,25
The difference the superclass l<NUM>_db that this method ,0.0,0.31000789778412347,26
OFCException self __ init__ * * kwargs ,0.0,0.30692138197196117,27
ports = self get_ports context elevated filters = device_filter ,1.0,0.3046462279540596,28
List of enabled router providers ,0.0,0.30319075117146016,29
@ call_log log ,1.0,0.3000985882830331,30
router_id = sa Column sa String <NUM> ,1.0,0.2994358164498884,31
sa Column <STR> sa String length = <NUM> nullable = ,1.0,0.29125868329585675,32
sa Column <STR> sa String length = <NUM> nullable = ,1.0,0.29125868329585675,33
port = driver add_interface context router_id port ,1.0,0.288344526489821,34
provider = sa Column sa String <NUM> ,1.0,0.2881470634926263,35
schedule_router self context router ,1.0,0.28089540151218334,36
LOG = logging getLogger __ name__ ,1.0,0.2792495915563857,37
res = self client post path body = None ,1.0,0.2792305578243549,38
ports = self get_ports_count context elevated ,1.0,0.276759010121285,39
self plugin deactivate_port context port ,1.0,0.27379008470112515,40
ret = self client post path body = body ,1.0,0.27061469962172136,41
mock call exists_ofc_tenant ctx self _tenant_id ,0.0,0.2635493247601491,42
fips = self get_floatingips_count context elevated ,1.0,0.26284233152580855,43
mock call request <STR> headers ,1.0,0.2626743899630533,44
driver delete_interface context router_id port ,1.0,0.2625526603765285,45
attributes RESOURCE_ATTRIBUTE_MAP update ,0.0,0.2624544273312542,46
self plugin activate_port_if_ready context port ,1.0,0.25609969622319795,47
under the License ,1.0,0.254191049330222,48
OFC raises an exception it different expected status ,0.0,0.2538724705750175,49
l<NUM>_rpc_agent_api L<NUM>AgentNotify router_deleted context ,1.0,0.25000914873965446,50
self l<NUM>_rpc_notifier router_deleted context ,1.0,0.25000914873965446,51
self adminContext = context get_admin_context ,0.0,0.24917723140423298,52
self client put ofc_router_inf_id body = body ,1.0,0.24491146547449386,53
port = self deactivate_port context port ,1.0,0.24286238520391185,54
driver delete_router context router_id router ,1.0,0.2367607942632361,55
driver update_router context router_id old_rtr new_rtr ,1.0,0.2367607942632361,56
driver delete_interface context router_id gw_port ,1.0,0.2367607942632361,57
driver = self _get_router_driver_by_id context router_id ,1.0,0.2367607942632361,58
mock call getresponse ,0.0,0.23654420175963192,59
create_ofc_router self context tenant_id router_id name = None ,1.0,0.2360758557240893,60
This driver can be used only unit tests but also real testing ,0.0,0.23569783366749847,61
driver create_router context tenant_id new_router ,1.0,0.23543602690223567,62
hosted on l<NUM> agents there no need to notify ,0.0,0.2335367833675696,63
self plugin _update_resource_status context <STR> port_id ,1.0,0.2303078301099055,64
self plugin _update_resource_status context <STR> ,1.0,0.2303078301099055,65
self ofc delete_ofc_router context router_id router ,1.0,0.22675940837821484,66
self ofc add_ofc_router_interface context router_id ,1.0,0.22675940837821484,67
self ofc update_ofc_router_route context router_id ,1.0,0.22675940837821484,68
self ofc create_ofc_router context tenant_id router_id ,1.0,0.22675940837821484,69
self ofc delete_ofc_router_interface context router_id port_id ,1.0,0.22675940837821484,70
self err_msg = kwargs get <STR> ,1.0,0.22666786247741147,71
self _exists_ofc_item context <STR> router_id ,1.0,0.22628021795278522,72
self status = kwargs get <STR> ,1.0,0.22614159879015255,73
context driver new_router [ <STR> ] ,0.0,0.22547204130597398,74
context driver new_rtr [ <STR> ] ,0.0,0.22547204130597398,75
context driver old_rtr [ <STR> ] ,0.0,0.22547204130597398,76
def_get_gw_port_detail self context driver gw_port_id ,1.0,0.22547204130597398,77
port = handler context port ,0.0,0.22517199672598465,78
If autocheck enabled it checks whether the specified resource exists ,0.0,0.22101322965076736,79
Default router provider to use ,0.0,0.2199865337832576,80
def_get_router_for_floatingip self context internal_port ,1.0,0.21988193462039307,81
path = <STR> % ofc_tenant_id ,1.0,0.21793111936773701,82
WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND either express ,1.0,0.21697636136210632,83
ret = self client get path ,0.0,0.21694592753734887,84
_ notification called L<NUM> db plugin routers regardless ,0.0,0.21649300034765662,85
set_context * * kwargs ,1.0,0.2158796225169785,86
self ofc exists_ofc_tenant context tenant_id ,0.0,0.21547065542095273,87
self ofc ensure_ofc_tenant context tenant_id ,0.0,0.21547065542095273,88
self ofc delete_ofc_tenant context tenant_id ,1.0,0.21547065542095273,89
self ofc delete_ofc_tenant context tenant_id ,0.0,0.21547065542095273,90
ofc_router_id = self driver create_router ofc_tenant_id router_id ,1.0,0.21288565218392685,91
neutron openstack common excutils ,1.0,0.21115295919166144,92
delete_interface self context router_id port ,1.0,0.2106688835699544,93
add_interface self context router_id port ,1.0,0.2106688835699544,94
add_ofc_router_interface self context router_id port_id port ,1.0,0.2106688835699544,95
self create_ofc_tenant context tenant_id ,1.0,0.204740507216624,96
neutron api v<NUM> attributes attr ,1.0,0.20193985721613378,97
tenant_id = self _get_tenant_id_for_create context router [ <STR> ] ,1.0,0.2007224186211509,98
self activate_port_if_ready context port ,1.0,0.19938013061269222,99
handler context port ,0.0,0.19938013061269222,100
create_router_port self context port ,1.0,0.19938013061269222,101
delete_router_port self context port ,1.0,0.19938013061269222,102
res = mock Mock ,1.0,0.19934159108206934,103
context <STR> router_id new_status ,0.0,0.19433740386831155,104
ofc_tenant_id = self driver convert_ofc_tenant_id ,1.0,0.19163291363040305,105
This method filters routers hosted by l<NUM> agents ,0.0,0.19141220149602534,106
res status = status ,0.0,0.18722935423243892,107
remove_router_interface self context router_id interface_info ,1.0,0.18586205071745113,108
self _check_router_in_use context router_id ,1.0,0.184877017456662,109
update_router self context router_id old_router new_router ,1.0,0.184877017456662,110
def_get_gw_port self context router_id ,1.0,0.184877017456662,111
delete_router self context router_id router ,1.0,0.184877017456662,112
rdb get_provider_by_router context session router_id ,0.0,0.184877017456662,113
provider = self _get_provider_by_router_id context router_id ,1.0,0.184877017456662,114
gw_port = self _get_gw_port context router_id ,1.0,0.184877017456662,115
router = RouterMixin self get_router context router_id ,1.0,0.184877017456662,116
add_router_interface self context router_id interface_info ,1.0,0.184877017456662,117
