total_tokens,line_level_label,line_score,row
<STR> Create an InfoCache that can be used to create the DB ,0.0,1.0,1
When save ing this the info_cache_update DB call ,0.0,0.7035596191519129,2
nova openstack common log logging ,1.0,0.6026936223363716,3
entry the first time ,0.0,0.3087195626283444,4
rv = api db instance_info_cache_update context ,1.0,0.2584487613918842,5
update_instance_cache_with_nw_info api context instance nw_info = None ,1.0,0.21750195229189484,6
update_instance_cache_with_nw_info api context instance ,1.0,0.21750195229189484,7
ctxt = context get_admin_context ,0.0,0.1976991935892108,8
info_cache _context = context ,1.0,0.17488995337167557,9
db instance_info_cache_update context self instance_uuid ,1.0,0.17146437300443632,10
rv = db instance_info_cache_update context self instance_uuid ,1.0,0.17146437300443632,11
LOG = logging getLogger __ name__ ,1.0,0.16503629799629518,12
new cls context instance_uuid ,1.0,0.15430897778992322,13
network_info = self _get_instance_nw_info context elevated ,1.0,0.13051756390455982,14
get_instance_nw_info self context instance conductor_api = None ,1.0,0.13051756390455982,15
ic = info_cache_obj InstanceInfoCache new context ,1.0,0.13051756390455982,16
save self context ,1.0,0.13051756390455982,17
context elevated instance conductor_api = self conductor_api ,0.0,0.13051756390455982,18
get_instance_nw_info self context instance networks = None ,1.0,0.13051756390455982,19
self _info_cache_cells_update context rv ,0.0,0.13051756390455982,20
get_instance_nw_info self context instance conductor_api = None ,1.0,0.13051756390455982,21
rv = conductor_api instance_info_cache_update context ,1.0,0.13051756390455982,22
get_instance_nw_info self context instance ,1.0,0.13051756390455982,23
save self context update_cells = ,0.0,0.13051756390455982,24
cells_api instance_info_cache_update_at_top context rv ,1.0,0.13051756390455982,25
will properly handle creating it it doesn ' t exist already ,0.0,0.12960933109605516,26
cache = <STR> nw_info json ,0.0,0.12958469355012112,27
nw_info = res conductor_api = kwargs get <STR> ,0.0,0.11554926295572843,28
cache ,0.0,0.07539979641683074,29
self stubs Set self compute network_api <STR> ,1.0,0.060110749515425395,30
self stubs Set self compute <STR> ,0.0,0.060110749515425395,31
<STR> nwinfo json ,0.0,0.05418489713331277,32
nova cells rpcapi cells_rpcapi ,1.0,0.05377291789778855,33
nova cells rpcapi cells_rpcapi ,1.0,0.05377291789778855,34
db instance_info_cache_update ,1.0,0.04094680909990088,35
db instance_info_cache_update ctxt <STR> ,1.0,0.04094680909990088,36
obj obj_what_changed ,0.0,0.032796479912334836,37
info_cache = cls ,0.0,0.023791413885381165,38
capi = conductor API ,0.0,0.019896234015621152,39
nova conductor ,1.0,0.019896234015621152,40
fake_instance conductor_api = self compute conductor_api ,0.0,0.00855628154438732,41
fake_instance AndReturn fake_nw_info ,0.0,0.00855628154438732,42
obj save ,0.0,0.00484415525078953,43
obj = instance_info_cache InstanceInfoCache ,1.0,0.00484415525078953,44
obj save update_cells = update_cells ,1.0,0.00484415525078953,45
self assertEqual None obj network_info ,1.0,0.00484415525078953,46
obj = instance_info_cache InstanceInfoCache ,1.0,0.00484415525078953,47
obj = instance_info_cache InstanceInfoCache new ctxt ,1.0,0.00484415525078953,48
self assertEqual <STR> obj instance_uuid ,0.0,0.00484415525078953,49
Exception ,1.0,0.0,50
networks = None ,0.0,0.0,51
update_cells = ,0.0,0.0,52
mox IgnoreArg AndReturn network_info_from_api ,0.0,0.0,53
<STR> ,1.0,0.0,54
<STR> ,1.0,0.0,55
nw_info = None conductor_api = None ,0.0,0.0,56
conductor_api ,0.0,0.0,57
VERSION = <STR> ,1.0,0.0,58
AndReturn fake_nw_info ,1.0,0.0,59
self _save_helper None ,0.0,0.0,60
