total_tokens,line_level_label,line_score,row
You may obtain a copy of the License at ,1.0,1.0,1
a copy of the License at ,1.0,0.9168859715781721,2
License the specific language governing permissions limitations ,1.0,0.9160515241969424,3
See the License the specific language governing permissions ,1.0,0.8891965600852973,4
Unless required by applicable law agreed to writing software ,1.0,0.8721360055037585,5
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.7285780520718005,6
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.6944101332082899,7
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.6885443946257562,8
distributed under the License distributed on an <STR> BASIS ,1.0,0.6885443946257562,9
neutron openstack common log ,1.0,0.670451113535275,10
use this file compliance the License You may obtain ,1.0,0.6676387428809338,11
you may use this file compliance the License ,1.0,0.6064715446171606,12
limitations under the License ,1.0,0.5910717481133233,13
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.5861636141597331,14
Licensed under the Apache License Version <NUM> <NUM> the <STR> ,1.0,0.5642167840016783,15
resource = copy copy resource ,0.0,0.5624458337124802,16
resource = copy copy resource ,0.0,0.5624458337124802,17
This gives the controller an option to re - sync it ' s persistent store ,1.0,0.507763151953926,18
This gives the controller an option to re - sync it ' s persistent store ,1.0,0.507763151953926,19
This driver relays the network create update delete ,0.0,0.4969124781137195,20
context = qcontext get_admin_context ,1.0,0.4263037309965678,21
context = qcontext get_admin_context ,0.0,0.4263037309965678,22
port = NeutronRestProxyV<NUM> self get_port context port_id ,1.0,0.4107804213021713,23
neutron ' s current view of that data ,1.0,0.397956212911135,24
neutron ' s current view of that data ,1.0,0.397956212911135,25
LOG = log getLogger __ name__ ,1.0,0.39696869456989453,26
under the License ,1.0,0.3835712330490571,27
WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND either express ,1.0,0.38071154178174504,28
net = NeutronRestProxyV<NUM> self get_network context net_id ,1.0,0.3640268547830072,29
subnet = NeutronRestProxyV<NUM> self get_subnet context ,1.0,0.35956927677504885,30
subnet = self get_subnet context subnet_id ,1.0,0.35956927677504885,31
net = context network current ,0.0,0.35733994285011056,32
self _unplug_port context port_id ,0.0,0.34817973194471835,33
def_unplug_port self context port_id ,1.0,0.34817973194471835,34
