total_tokens,line_level_label,line_score,row
Tell the caller weather we expect the legacy of block ,1.0,1.0,1
<STR> Tell the caller the driver requires legacy block device info ,0.0,0.9537592660682198,2
changed This call updates the DB the latest connection info ,0.0,0.9351753835976285,3
device info to be passed to methods that expect it ,0.0,0.9060578448676994,4
self db_api block_device_mapping_update self context <NUM> ,1.0,0.4447626807406533,5
db_api block_device_mapping_update context self ,1.0,0.4447626807406533,6
self db block_device_mapping_get_all_by_instance context ,1.0,0.42110706662248043,7
self compute_api _get_block_device_info self context inst uuid ,1.0,0.41565769280118553,8
context instance self volume_api ,1.0,0.34895764330523504,9
context instance ,1.0,0.34895764330523504,10
block_device_mapping context instance self volume_api ,1.0,0.34895764330523504,11
bdms = self _get_instance_volume_bdms context instance ,1.0,0.34895764330523504,12
context instance self volume_api ,1.0,0.34895764330523504,13
context instance ,1.0,0.34895764330523504,14
def_get_instance_volume_bdms self context instance ,1.0,0.34895764330523504,15
def_get_instance_volume_bdms self context instance legacy = ,1.0,0.34895764330523504,16
context instance legacy legacy ,0.0,0.34895764330523504,17
bdms = self _get_instance_volume_bdms context instance ,1.0,0.34895764330523504,18
test_bdm refresh_connection_info self context instance ,1.0,0.34895764330523504,19
def_refresh_block_device_connection_info self context instance ,1.0,0.34895764330523504,20
context instance refresh_conn_info = ,0.0,0.34895764330523504,21
bdms = self _refresh_block_device_connection_info context instance ,1.0,0.34895764330523504,22
refresh_connection_info self context instance volume_api ,1.0,0.34895764330523504,23
context instance ,1.0,0.34895764330523504,24
context instance bdms = bdms ,0.0,0.34895764330523504,25
def_get_block_device_info self context instance_uuid ,1.0,0.2991183084366796,26
connection_info = volume_api initialize_connection context ,0.0,0.2989294316123422,27
self context test_bdm volume_id ,0.0,0.28933112787719195,28
self driver self conductor_api + ,1.0,0.28470835245027915,29
self driver self conductor_api ,0.0,0.28470835245027915,30
self driver self conductor_api + ,0.0,0.28470835245027915,31
self driver self conductor_api ,1.0,0.28470835245027915,32
context bdm [ <STR> ] connector ,0.0,0.2719312113427526,33
connector = self driver get_volume_connector instance ,0.0,0.262681909320812,34
<STR> After some operations the IQN CHAP example may have ,0.0,0.2582360309665488,35
context bdm [ <STR> ] ,0.0,0.25749895217420077,36
self mox StubOutWithMock self compute_api <STR> ,1.0,0.1828134431958673,37
virt_driver db_api = None ,0.0,0.17886780950846018,38
db_api ,0.0,0.17886780950846018,39
self db_api ,0.0,0.17886780950846018,40
self driver need_legacy_block_device_info ,0.0,0.15679095902122592,41
nova openstack common jsonutils ,0.0,0.15546888011556817,42
self conductor_api block_device_mapping_update ,1.0,0.1363133124868091,43
self mox StubOutWithMock self compute ,1.0,0.12408999394135425,44
bdm get <STR> ] ,0.0,0.1117491266851968,45
self virt_driver get_volume_connector instance AndReturn connector ,0.0,0.10589095029957418,46
connector = virt_driver get_volume_connector instance ,0.0,0.10589095029957418,47
<STR> jsonutils dumps connection_info ,1.0,0.10347632652526279,48
instance = <STR> ,1.0,0.09145869113104216,49
instance [ <STR> ] ,1.0,0.09145869113104216,50
econtext instance AndReturn fake_block_dev_info ,0.0,0.09145869113104216,51
self compute _get_instance_volume_block_device_info ,1.0,0.08309011961515513,52
<STR> jsonutils dumps cinfo ,1.0,0.07688049527197563,53
<STR> jsonutils dumps expected_conn_info ,1.0,0.07688049527197563,54
pass ,0.0,0.07452082962605501,55
