total_tokens,line_level_label,line_score,row
param owner_uid UID of owner defaults to current user ,0.0,0.9999999999999999,1
fake_fetch target * args * * kwargs ,1.0,0.33148903363204885,2
fake_fetch target * args * * kwargs ,0.0,0.33148903363204885,3
stores the result self disk_info_path ,0.0,0.2862812874333924,4
<STR> Return the driver self path ,0.0,0.2732153328675562,5
First checks self disk_info_path an entry ,0.0,0.27043309782551533,6
exception InvalidDiskInfo reason = msg ,1.0,0.26139107578925924,7
disk_info_file write <STR> % jsonutils dumps dct ,1.0,0.1937287465864817,8
dct update self path driver_format ,1.0,0.18473196650751006,9
info = self mox CreateMockAnything ,1.0,0.18076097594534435,10
exception DiskInfoReadWriteFail reason = unicode e ,0.0,0.1796114671594141,11
See https / / bugs launchpad net / nova / + bug / <NUM> ,0.0,0.16484328449577973,12
@ utils synchronized self disk_info_path external = ,0.0,0.13036637316037852,13
CONF set_override <STR> ,0.0,0.11673169459540655,14
CONF set_override <STR> ,1.0,0.11673169459540655,15
nova virt libvirt imagebackend ,1.0,0.1036806281960279,16
self stubs Set utils <STR> fake_chown ,0.0,0.08631754421832229,17
utils chown self disk_info_path owner_uid = os getuid ,0.0,0.08448112385561642,18
msg = _ <STR> ,1.0,0.08177960862988647,19
msg =_ <STR> ,1.0,0.08177960862988647,20
shutil rmtree self INSTANCES_PATH ,0.0,0.06716900177058491,21
shutil ,1.0,0.06716900177058491,22
execute <STR> owner_uid path run_as_root = ,0.0,0.05340175310193403,23
fake_processutils stub_out_processutils_execute self stubs ,0.0,0.05317143623152949,24
fake_processutils stub_out_processutils_execute self stubs ,1.0,0.05317143623152949,25
self stubs Set os path <STR> lambda_ ,1.0,0.05317143623152949,26
self stubs Set image <STR> ,1.0,0.05317143623152949,27
self stubs Set os <STR> p w ,1.0,0.05317143623152949,28
self stubs Set imagebackend Raw <STR> lambda_ None ,0.0,0.05317143623152949,29
self stubs Set image <STR> ,0.0,0.05317143623152949,30
self stubs Set imagebackend Image <STR> ,0.0,0.05317143623152949,31
self stubs Set os path <STR> lambda_ ,0.0,0.05317143623152949,32
self stubs Set os <STR> p w ,1.0,0.05317143623152949,33
self stubs Set imagebackend Raw <STR> lambda_ None ,1.0,0.05317143623152949,34
self stubs Set os <STR> p w ,0.0,0.05317143623152949,35
self stubs Set os <STR> p w ,0.0,0.05317143623152949,36
orig_uid = os stat path st_uid ,0.0,0.051962515955472625,37
owner_uid = os getuid ,0.0,0.05133501586882362,38
If it ' s there calls self _get_driver_format then ,0.0,0.04856028614830898,39
self mox StubOutWithMock imagebackend utils synchronized ,0.0,0.04798981824847397,40
self mox StubOutWithMock imagebackend utils synchronized ,1.0,0.04798981824847397,41
self DISK_INFO_PATH = os path join self INSTANCES_PATH ,0.0,0.04399934768953951,42
self disk_info_path = os path join os path dirname self path ,0.0,0.04399934768953951,43
os path exists self DISK_INFO_PATH AndReturn ,1.0,0.03938113998480278,44
os path exists self TEMPLATE_DIR AndReturn ,1.0,0.03938113998480278,45
os path exists self PATH AndReturn ,1.0,0.03938113998480278,46
os path exists self disk_info_path ,1.0,0.03938113998480278,47
os path exists self OLD_STYLE_INSTANCE_PATH AndReturn ,1.0,0.03938113998480278,48
os path exists self TEMPLATE_DIR AndReturn ,1.0,0.03938113998480278,49
os path exists CONF instances_path AndReturn ,0.0,0.03938113998480278,50
os path exists self PATH AndReturn ,1.0,0.03938113998480278,51
os path exists self TEMPLATE_PATH AndReturn ,1.0,0.03938113998480278,52
os path exists self INSTANCES_PATH AndReturn ,1.0,0.03938113998480278,53
def_dict_from_line line ,0.0,0.03649275680965341,54
jsonutils loads line ,0.0,0.03649275680965341,55
line = disk_info_file read rstrip ,0.0,0.03649275680965341,56
line ,0.0,0.03649275680965341,57
dct =_dict_from_line line ,0.0,0.03649275680965341,58
