total_tokens,line_level_label,line_score,row
<STR> We have to do this order to get CSV output the CLI command ,0.0,1.0,1
We first have to issue a command to tell the CLI that we want the ,0.0,0.8891587721528991,2
In order to export a volume on a <NUM>PAR box we have to create a VLUN ,0.0,0.865964711189455,3
The only way to do this currently to delete the volume ,0.0,0.8272349231534611,4
We have to do this order to get CSV output ,1.0,0.8114170577755394,5
NOTE walter - boring don ' t call this unless you know the volume ,0.0,0.7282135876952537,6
a command to tell the CLI that we want the output ,1.0,0.7051899411873583,7
In order to export a volume on a <NUM>PAR box we have to ,0.0,0.671691278582397,8
to get the error message ,0.0,0.5663993822711212,9
output to be formatted CSV then we issue the real command ,0.0,0.46161820213758475,10
to be formatted CSV then we issue the real ,1.0,0.46161820213758475,11
We have to use a safe hostname length ,0.0,0.4240575890192845,12
the CLI command We first have to issue ,0.0,0.3725517731898707,13
LOG debug <STR> % cmd ,1.0,0.25420086059456265,14
def_ssh_execute self ssh cmd ,1.0,0.20054665367880914,15
def_ssh_execute self ssh cmd check_exit_code = ,0.0,0.20054665367880914,16
create a VLUN ,0.0,0.1942734326070579,17
Search <STR> found the word preceding ,0.0,0.1885829422243301,18
the word preceding <STR> ,0.0,0.1885829422243301,19
exception InvalidInput reason = err ,1.0,0.15597681093485946,20
exception InvalidInput reason = err ,1.0,0.15597681093485946,21
LOG debug <STR> % vvset_name ,1.0,0.1397054691012836,22
type_id = volume get <STR> None ,1.0,0.1391515060978405,23
type_id = volume get <STR> None ,1.0,0.1391515060978405,24
self stubs Set hpdriver hpcommon HP<NUM>PARCommon ,0.0,0.12474389873756134,25
self stubs Set hpdriver hpcommon HP<NUM>PARCommon <STR> ,1.0,0.12474389873756134,26
cmd = <STR> % src_name ,1.0,0.116583102510534,27
self _cli_run cmd None ,1.0,0.11449539149329441,28
out = self _cli_run cmd None ,1.0,0.11449539149329441,29
cmd + = dest_name ,0.0,0.11449539149329441,30
cmd + = cpg + <STR> ,1.0,0.11449539149329441,31
cmd + = <STR> % snap_cpg ,0.0,0.11449539149329441,32
cmd = <STR> % volume_name ,1.0,0.11449539149329441,33
cmd + = <STR> ,1.0,0.11449539149329441,34
exception CinderException ex ,1.0,0.10416465599164966,35
exception CinderException ex get_description ,1.0,0.10416465599164966,36
<NUM>PAR host names ,0.0,0.058153968030885975,37
ex get_code = = <NUM> ,1.0,0.051837450244092136,38
ex ,0.0,0.051837450244092136,39
hpexceptions HTTPConflict ex ,1.0,0.051837450244092136,40
<STR> Get converted <NUM>PAR volume name ,1.0,0.050039961189675124,41
out [ <NUM> ] startswith <STR> ,0.0,0.022374254204601696,42
vvset_name startswith <STR> ,0.0,0.022374254204601696,43
type_id None ,1.0,0.010817715862767766,44
volume_type = self _get_volume_type type_id ,1.0,0.010817715862767766,45
volume_type = self _get_volume_type type_id ,1.0,0.010817715862767766,46
type_id None ,1.0,0.010817715862767766,47
err =_ <STR> ,1.0,0.007055581972292784,48
err =_ <STR> ,1.0,0.007055581972292784,49
snap_cpg = self config hp<NUM>par_cpg_snap ,0.0,0.006725093928596127,50
self config hp<NUM>par_cpg ,0.0,0.006725093928596127,51
self config hp<NUM>par_cpg_snap ,0.0,0.006725093928596127,52
self config hp<NUM>par_cpg_snap ,0.0,0.006725093928596127,53
cpg self config hp<NUM>par_cpg ,0.0,0.006725093928596127,54
snap_cpg = self config hp<NUM>par_cpg_snap ,0.0,0.006725093928596127,55
cpg self config hp<NUM>par_cpg ,0.0,0.006725093928596127,56
self config hp<NUM>par_cpg ,0.0,0.006725093928596127,57
fake_copy_volume self src_name dest_name ,1.0,0.0020877110172395994,58
fake_copy_volume self src_name dest_name cpg = None ,1.0,0.0020877110172395994,59
def_copy_volume self src_name dest_name ,1.0,0.0020877110172395994,60
self _cli_run <STR> % src_name dest_name None ,1.0,0.0020877110172395994,61
def_copy_volume self src_name dest_name cpg = None snap_cpg = None ,1.0,0.0020877110172395994,62
self _remove_volume_from_volume_set volume_name vvs_name ,1.0,0.0,63
prov_value = self _get_key_value hp<NUM>par_keys <STR> ,1.0,0.0,64
qos = self _get_<NUM>par_vol_comment_value vol_comment <STR> ,0.0,0.0,65
qos = self _get_qos_by_volume_type volume_type ,0.0,0.0,66
self fake_get_volume_type ,1.0,0.0,67
self fake_get_qos_by_volume_type ,1.0,0.0,68
tpvv = ,0.0,0.0,69
vvs_name = self _get_<NUM>par_vol_comment_value vol_comment <STR> ,0.0,0.0,70
self validate_cpg cpg ,0.0,0.0,71
command ,0.0,0.0,72
ttpv = ,0.0,0.0,73
snap_cpg = cpg ,1.0,0.0,74
self client deleteVolume volume_name ,0.0,0.0,75
<STR> self valid_prov_values ,1.0,0.0,76
<STR> ,1.0,0.0,77
cpg = self _get_key_value hp<NUM>par_keys <STR> ,0.0,0.0,78
ttpv = ,0.0,0.0,79
