total_tokens,line_level_label,line_score,row
param context security context ,1.0,1.0,1
param ctxt security context ,1.0,0.6737677886302783,2
param image_meta image returned by nova image glance that ,1.0,0.5022187679027176,3
context = nova_context get_admin_context ,1.0,0.4999999999999999,4
spawn self context instance image_id ,1.0,0.4999999999999999,5
fake_image_fetch_to_raw context image_id file_path ,1.0,0.4999999999999999,6
manage_image_cache self context ,1.0,0.4999999999999999,7
db instance_create context get_admin_context ,1.0,0.4999999999999999,8
spawn self context instance image_meta ,1.0,0.4999999999999999,9
nova context ,1.0,0.4999999999999999,10
self powervm_connection spawn context get_admin_context ,1.0,0.4999999999999999,11
instances = db instance_get_all_by_host context host ,1.0,0.4999999999999999,12
self _powervm spawn context instance image_meta [ <STR> ] ,1.0,0.4999999999999999,13
db instance_update context db_instance [ <STR> ] ,1.0,0.4999999999999999,14
def_create_image context instance image_id ,1.0,0.4999999999999999,15
db instance_destroy context db_instance [ <STR> ] ,1.0,0.4999999999999999,16
_ create_image context instance image_id ,1.0,0.4999999999999999,17
images fetch_to_raw context image_id file_path ,1.0,0.4999999999999999,18
nova context nova_context ,1.0,0.4999999999999999,19
returns string - - vhost name None case none found ,0.0,0.36555069349237146,20
<STR> Updates compute manager resource info on ComputeNode table ,0.0,0.3255017803477159,21
nova openstack common log logging ,1.0,0.2728345735492649,22
Manage the driver ' s local image cache ,0.0,0.2511093839513588,23
defines the image which to boot this instance ,1.0,0.2511093839513588,24
update_available_resource self ctxt host ,1.0,0.17376778863027834,25
self profile_attributes update kwargs ,0.0,0.15675384529709635,26
self attributes update kwargs ,0.0,0.15675384529709635,27
self port = port ,0.0,0.1543012005567952,28
port = connection port ,1.0,0.1543012005567952,29
nova utils ,1.0,0.14313300174227664,30
stdout stderr = utils ssh_execute self _connection cmd ,1.0,0.14313300174227664,31
def__ init__ self * * kwargs ,0.0,0.12229044280665362,32
num_cpu the number of virtual CPUs the domain ,0.0,0.1039828960909026,33
LOG error _ <STR> % ,1.0,0.08507486602859558,34
