total_tokens,line_level_label,line_score,row
<STR> Enables / Disables the compute service on this host ,0.0,1.0,1
number of arguments the libvirt python library ,0.0,0.8604417624729336,2
<STR> Sets the specified host ' s ability to accept new instances ,0.0,0.8510655772185243,3
registerCloseCallback self cb opaque * args * * kwargs ,0.0,0.5891619686352236,4
domainEventRegisterAny self * args * * kwargs ,0.0,0.5546740477998396,5
<STR> Validates that a connection to libvirt exist ,0.0,0.4150042904561483,6
service_obj Service get_by_compute_host self ctxt ,1.0,0.40582975123610887,7
mock patch service_obj Service <STR> ,1.0,0.3993368346636066,8
mock patch service_obj Service <STR> ,1.0,0.3993368346636066,9
nova objects service service_obj ,0.0,0.3896667764468885,10
nova objects service service_obj ,1.0,0.3896667764468885,11
the libvirt python library ,0.0,0.34008399517364113,12
mock patch libvirt <STR> ,0.0,0.30209132370903424,13
mock patch libvirt libvirtError <STR> ,0.0,0.30209132370903424,14
<STR> mock MagicMock ,0.0,0.20985658323680778,15
service_mock = mock MagicMock ,0.0,0.20985658323680778,16
mock patch conn <STR> return_value = self conn ,0.0,0.20985658323680778,17
mox IgnoreArg AndReturn mock MagicMock ,0.0,0.20985658323680778,18
mock patch self conn <STR> ,1.0,0.20985658323680778,19
<STR> mock MagicMock ,0.0,0.20985658323680778,20
return_value = mock MagicMock ,0.0,0.20985658323680778,21
mock patch conn <STR> ,1.0,0.20985658323680778,22
service_obj Service get_by_compute_host mox IgnoreArg ,1.0,0.1894802514266417,23
self mox StubOutWithMock service_obj Service ,0.0,0.1894802514266417,24
service_mock __ getitem__ return_value = ,1.0,0.17994437099580143,25
service_mock __ getitem__ return_value = ,1.0,0.17994437099580143,26
service_mock_failed_conn __ getitem__ return_value = ,1.0,0.17994437099580143,27
self assertRaises exception HypervisorUnavailable ,1.0,0.1379624645213317,28
self assertRaises exception HypervisorUnavailable ,0.0,0.1379624645213317,29
side_effect = libvirt libvirtError <STR> ,0.0,0.1364272864142083,30
self set_host_enabled CONF host _error ,0.0,0.12062820514785788,31
self set_host_enabled CONF host is_connected ,0.0,0.10516390229010542,32
set_host_enabled self host enabled ,0.0,0.10516390229010542,33
contextlib nested ,0.0,0.10374578285359153,34
self mox StubOutWithMock libvirt <STR> ,1.0,0.09223474047224771,35
libvirt openAuth mox IgnoreArg mox IgnoreArg ,0.0,0.09223474047224771,36
self mox StubOutWithMock libvirt libvirtError <STR> ,0.0,0.09223474047224771,37
libvirt libvirtError <STR> ,1.0,0.09223474047224771,38
self assertTrue service_mock disabled ,1.0,0.08762597374103248,39
self assertFalse service_mock disabled ,1.0,0.08762597374103248,40
self assertFalse service_mock disabled ,1.0,0.08762597374103248,41
service_mock disabled return_value = ,0.0,0.08762597374103248,42
self assertTrue service_mock disabled ,1.0,0.08762597374103248,43
self assertTrue service_mock disabled ,1.0,0.08762597374103248,44
self assertTrue service_mock disabled ,0.0,0.08762597374103248,45
self assertTrue service_mock disabled ,0.0,0.08762597374103248,46
service_mock disabled return_value = ,0.0,0.08762597374103248,47
self assertTrue service_mock disabled ,1.0,0.08762597374103248,48
service_mock_failed_conn disabled return_value = ,0.0,0.08762597374103248,49
side_effect = TypeError <STR> ,0.0,0.04419254594196059,50
side_effect = set_close_callback ,0.0,0.04419254594196059,51
side_effect = AttributeError <STR> ,0.0,0.04419254594196059,52
registerCloseCallback self cb opaque ,0.0,0.03448792083545034,53
self connection set_host_enabled <STR> ,0.0,0.00593775214591566,54
self connection set_host_enabled <STR> ,0.0,0.00593775214591566,55
self connection _set_host_enabled ,1.0,0.00593775214591566,56
