total_tokens,line_level_label,line_score,row
Unless required by applicable law agreed to writing software ,1.0,1.0,1
License the specific language governing permissions limitations ,1.0,0.7303133528199313,2
use this file compliance the License You may obtain ,1.0,0.7218491778130554,3
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.6269304050169493,4
<STR> Return the current state of the volume service ,0.0,0.5486644151840293,5
Can optionally a Dictionary of changes to the volume ,0.0,0.5340973285113433,6
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.5061067834666695,7
a copy of the License at ,1.0,0.4941317633988849,8
terminate_connection self volume connector force = * * kwargs ,1.0,0.42032385723817917,9
cinder openstack common log logging ,1.0,0.4116526519473762,10
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.39731953782662094,11
Path Scality SOFS root to volume string value ,0.0,0.3659068680078436,12
def_execute_wrapper self cmd * args * * kwargs ,0.0,0.35128388424279317,13
utils execute cmd * args * * kwargs ,0.0,0.35128388424279317,14
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.342278973652582,15
Creates sparse files on SOFS hypervisors to use block ,0.0,0.330367686172012,16
remove_export self context volume ,1.0,0.3296803974161381,17
copy_volume_to_image self context volume image_service image_meta ,0.0,0.3167492889020563,18
image_location a string whose depends on the ,0.0,0.3017730907246124,19
If <STR> run the update first ,0.0,0.2706904279919561,20
os makedirs path ,0.0,0.26989851806623727,21
ensure_export self context volume ,1.0,0.2621695423264691,22
Path URL to Scality SOFS configuration file string ,0.0,0.23560512118603258,23
kwargs pop <STR> ,0.0,0.22757759809958958,24
copy_image_to_volume self context volume image_service image_id ,1.0,0.22571642501537864,25
volume_path = os path join FLAGS scality_sofs_mount_point ,1.0,0.21988752079588098,26
create_export self context volume ,1.0,0.21388453819307285,27
<STR> Exports the volume ,0.0,0.21187547982523655,28
under the License ,1.0,0.20669316189994325,29
volume [ <STR> ] = self _sofs_path volume ,0.0,0.19826830381439156,30
Base where Scality SOFS shall be mounted string value ,0.0,0.19793731536246892,31
cinder openstack common cfg ,1.0,0.18748966860436264,32
create_volume_from_snapshot self volume snapshot ,0.0,0.17966376650732163,33
to determine whether cloning possible ,0.0,0.1715356407974981,34
self assertFalse os path isfile self TEST_SNAPPATH ,0.0,0.1707941613837986,35
self assertTrue os path isfile self TEST_SNAPPATH ,0.0,0.1707941613837986,36
self assertFalse os path isfile self TEST_VOLPATH ,0.0,0.1707941613837986,37
self assertTrue os path isfile self TEST_VOLPATH ,0.0,0.1707941613837986,38
cinder volume driver ,1.0,0.1647914954340297,39
cinder / volume / scality py ,0.0,0.16393060571080606,40
cinder volume drivers scality ,1.0,0.16393060571080606,41
Options defined cinder volume drivers scality ,0.0,0.16393060571080606,42
image service backend use The driver should use it ,0.0,0.1600481052095451,43
def_create_file self path size ,0.0,0.15783598870638346,44
