total_tokens,line_level_label,line_score,row
If a value specified the file found then the glance - api ,1.0,1.0,1
the glance - api service fails to start Guide reg ex python compiler ,0.0,0.779161785684865,2
then the glance - api service fails to start ,0.0,0.7060060539732057,3
specified then the glance - api service fails to start ,0.0,0.7060060539732057,4
If a value specified the file found then an ,0.0,0.6608516784211246,5
This file contains the rules protections the roles ,0.0,0.6542930804944961,6
This file contains the rules protections the roles / policies ,0.0,0.6542930804944961,7
created_image = self controller create request image = image ,1.0,0.6417752268193945,8
webob exc HTTPInternalServerError explanation = msg ,1.0,0.6250292613016163,9
self assertRaises webob exc HTTPForbidden self controller update ,0.0,0.6171070980492603,10
a match found the remaining rules will be traversed through ,0.0,0.6146338079262138,11
a match found the remaining rules will be applied ,0.0,0.6040684078300581,12
then the glance - api service will start ,0.0,0.6008393080542295,13
* If an operation create read update delete specified misspelt ,0.0,0.6003915122878349,14
* If an operation create read update delete specified misspelt ,0.0,0.6003915122878349,15
http / / docs python org / <NUM> / library / re html # regular - expression - syntax ,0.0,0.5282576500271121,16
http / / docs python org / <NUM> / library / re html # regular - expression - syntax ,0.0,0.5282576500271121,17
self assertEquals output status_int webob exc HTTPForbidden code ,1.0,0.5186488770546899,18
self controller = glance api v<NUM> images ImagesController self db ,0.0,0.5173766935531775,19
<STR> Add policy rules to the policy enforcer ,0.0,0.5080463845465152,20
response = requests patch path headers = headers data = data ,0.0,0.4999571977322075,21
For example the file listed property_protection_file has ,0.0,0.4964809436753215,22
The rules will be applied the order specified below Once ,0.0,0.402879638627539,23
The rules will be applied the order specified Once ,0.0,0.402879638627539,24
As admin role create an image a protected verify ,0.0,0.3928251421074319,25
As admin role create an image protected verify ,0.0,0.3928251421074319,26
As admin role create an image verify permitted role <STR> can ,0.0,0.3928251421074319,27
output = another_request get_response self api ,0.0,0.386056874341269,28
glance - api service will start Guide reg ex python compiler used ,0.0,0.38064265114584533,29
* If the reg ex specified below does then ,0.0,0.366508120331703,30
* If the reg ex specified below does then ,0.0,0.366508120331703,31
request = unit_test_utils get_fake_request roles = [ <STR> ] ,0.0,0.35692076815929963,32
For each section specify CRUD permissions You may refer to policies defined ,0.0,0.34865419953823795,33
For each section specify CRUD permissions You may refer to roles defined ,0.0,0.34865419953823795,34
This file an example config file when ,0.0,0.3382004227039927,35
glance common exception ,1.0,0.3242052691583866,36
output = self controller update another_request ,1.0,0.31681165842248554,37
then that operation the given regex disabled roles ,0.0,0.30811513305611504,38
self assertRaises webob exc HTTPInternalServerError ,1.0,0.30029543962677485,39
response = requests get path headers = self _headers ,0.0,0.29396684494108677,40
response = requests get path headers = headers ,0.0,0.29396684494108677,41
Specify whether <STR> are used the ,0.0,0.2933523886200435,42
then the corresponding policy rule would be ,0.0,0.2933523886200435,43
msg =_ <STR> ,1.0,0.2896077929117431,44
LOG error msg ,0.0,0.2896077929117431,45
glance tests utils ,0.0,0.28881859263018983,46
TestPropertyRules utils BaseTestCase ,0.0,0.28881859263018983,47
update = default ,1.0,0.2674675698526187,48
res_body = json loads output body [ <STR> ] [ <NUM> ] ,1.0,0.2618735444964596,49
<STR> output body ,0.0,0.2618735444964596,50
res_body = json loads output body [ <STR> ] ,1.0,0.2618735444964596,51
update = admin ,1.0,0.25918331634825387,52
