total_tokens,line_level_label,line_score,row
quantum db models_v<NUM> ,1.0,1.0,1
quantum api v<NUM> attributes ,1.0,0.30266186871392475,2
test_default_allocation_expiration self ,1.0,0.0,3
self conf register_opt cfg StrOpt <STR> ,1.0,0.0,4
def_validate_field self value regex ,0.0,0.0,5
def_lease_relay_script_path self ,1.0,0.0,6
mock_sock recv side_effect = Exception ,1.0,0.0,7
device_delegate = delegate ,1.0,0.0,8
topic = self topic ,1.0,0.0,9
Network namespace isolation prevents the DHCP process notifying ,1.0,0.0,10
sock close ,1.0,0.0,11
index = = <NUM> ,1.0,0.0,12
test_lease_relay_script_add self ,1.0,0.0,13
self assertEqual expires reference + datetime timedelta seconds = <NUM> ,1.0,0.0,14
msg = client_sock recv <NUM> ,1.0,0.0,15
handler called_once_with network_id ip_address lease_remaining ,1.0,0.0,16
mock_sock assert_has_calls [ mock call recv <NUM> ] ,1.0,0.0,17
All Rights Reserved ,1.0,0.0,18
test_update_fixed_ip_lease_expiration_invalid_address self ,1.0,0.0,19
relay = dhcp_agent DhcpLeaseRelay handler ,1.0,0.0,20
ip_address = ip_address ,1.0,0.0,21
self assertTrue log called ,1.0,0.0,22
mock patch <STR> mock_environ ,1.0,0.0,23
def_handler self client_sock client_addr ,1.0,0.0,24
cfg CONF register_opts DhcpLeaseRelay OPTS ,1.0,0.0,25
use this file compliance the License You may obtain ,1.0,0.0,26
mock_sock recv return_value = json_rep ,1.0,0.0,27
[ mock call connect relay_path ,0.0,0.0,28
datetime timedelta seconds = <NUM> ,0.0,0.0,29
attributes UUID_PATTERN ,1.0,0.0,30
<STR> ,1.0,0.0,31
sock send jsonutils dumps data ,1.0,0.0,32
mock_sys argv = [ ,1.0,0.0,33
test_init_relay_socket_path_prev_socket_exists self ,1.0,0.0,34
ip_allocation = q one ,1.0,0.0,35
mock_eventlet assert_has_calls ,1.0,0.0,36
self cast self context ,1.0,0.0,37
ValueError _ <STR> % ,1.0,0.0,38
host = self host ,0.0,0.0,39
vim tabstop = <NUM> shiftwidth = <NUM> softtabstop = <NUM> ,1.0,0.0,40
mock patch dhcp <STR> mock_sys ,1.0,0.0,41
mock patch <STR> execute ,1.0,0.0,42
test_lease_relay_script_add_socket_missing self ,1.0,0.0,43
self unlink_p = mock patch <STR> ,1.0,0.0,44
cmd = [ <STR> % pair pair env items ] + cmd ,1.0,0.0,45
ip_address = sys argv [ <NUM> ] ,1.0,0.0,46
update_lease_expiration self context * * kwargs ,1.0,0.0,47
[ mock call recv <NUM> mock call close ] ,1.0,0.0,48
plugin update_fixed_ip_lease_expiration context network_id ,1.0,0.0,49
relay _handler ] ,0.0,0.0,50
relay assert_has_mock_calls [ mock call run ] ,1.0,0.0,51
execute self cmds addl_env = ,1.0,0.0,52
re ,1.0,0.0,53
self proxy update_lease_expiration <STR> <NUM> ,1.0,0.0,54
self make_msg assert_called_once_with <STR> ,1.0,0.0,55
test_init_relay_socket_path_no_prev_socket self ,1.0,0.0,56
