total_tokens,line_level_label,line_score,row
License the specific language governing permissions limitations ,1.0,1.0,1
Typically the of the last row used the client - facing pagination ,0.0,0.8165319607676353,2
param marker the last item of the previous page we returns the ,1.0,0.7993591486878701,3
Unless required by applicable law agreed to writing software ,1.0,0.7753422050068081,4
param sort_keys array of attributes by which results should be ,1.0,0.6645676747257204,5
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.6522763273218254,6
use this file compliance the License You may obtain ,1.0,0.6463778558443799,7
param sort_dirs per - column array of sort_dirs corresponding to sort_keys ,0.0,0.6297524524023987,8
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.6183507264560683,9
a copy of the License at ,1.0,0.5818757032003908,10
param limit maximum number of items to ,1.0,0.49791823022317555,11
cinder openstack common log logging ,1.0,0.48304131098717434,12
Administrator of the National Aeronautics Space Administration ,0.0,0.4800917813205429,13
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.46971421916668665,14
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.42605087197586305,15
We use the last row the previous page the <STR> pagination ,0.0,0.420271927673067,16
So we must values that follow the passed marker the order ,0.0,0.4071442459349139,17
With a compound - values sort_key k<NUM> k<NUM> k<NUM> we must do this to repeat ,0.0,0.3493571596663975,18
marker then the actual marker must be fetched the db ,0.0,0.3018118117523587,19
self assertRaises webob exc HTTPBadRequest ,1.0,0.24391412603184934,20
cinder common sqlalchemyutils ,1.0,0.24356227929847454,21
context is_admin <STR> filters ,0.0,0.22654576126066903,22
context is_admin <STR> search_opts ,0.0,0.22654576126066903,23
Pagination works by requiring a unique sort_key specified by sort_keys ,0.0,0.21218955920705132,24
param query the query to which we should add paging / sorting ,0.0,0.202223596835523,25
Copyright <NUM> United States Government represented by the ,0.0,0.18509142865675146,26
volumes = self db volume_get_all context ,1.0,0.16021542056143923,27
query =_volume_get_query context filter_by project_id = project_id ,1.0,0.16021542056143923,28
context project_id ,1.0,0.16021542056143923,29
IMPL volume_get_all context marker limit sort_key sort_dir ,1.0,0.16021542056143923,30
volume_get_all context ,1.0,0.16021542056143923,31
volumes = self volume_api get_all context marker = None limit = None ,1.0,0.16021542056143923,32
IMPL volume_get_all_by_project context project_id marker limit ,1.0,0.16021542056143923,33
return_volume_get_query context ,1.0,0.16021542056143923,34
volumes = self db volume_get_all context marker limit sort_key ,1.0,0.16021542056143923,35
volume_get_all context marker limit sort_key sort_dir ,1.0,0.16021542056143923,36
get_all self context marker = None limit = None sort_key = <STR> ,1.0,0.16021542056143923,37
marker_volume = volume_get context marker ,1.0,0.16021542056143923,38
remove_invalid_options context search_options allowed_search_options ,1.0,0.16021542056143923,39
stub_volume_get_all_by_project self context marker limit sort_key ,1.0,0.16021542056143923,40
stub_volume_get_all_by_project context project_id marker limit ,1.0,0.16021542056143923,41
query =_volume_get_query context ,1.0,0.16021542056143923,42
