total_tokens,line_level_label,line_score,row
License the specific language governing permissions limitations ,1.0,0.9999999999999999,1
use this file compliance the License You may obtain ,1.0,0.8774318879337113,2
http / / www apache org / licenses / LICENSE - <NUM> <NUM> ,1.0,0.750476922307326,3
Replace < host > above the IP address of the database used by the ,1.0,0.7479802365078017,4
Unless required by applicable law agreed to writing software ,1.0,0.7265333802544613,5
distributed under the License distributed on an <STR> BASIS WITHOUT ,1.0,0.6786743038895362,6
WARRANTIES OR CONDITIONS OF ANY KIND either express implied See the ,1.0,0.6349934265199092,7
quantum openstack common log logging ,1.0,0.6068643347586956,8
Database reconnection interval seconds - the initial connection to the ,1.0,0.5975193787189839,9
Licensed under the Apache License Version <NUM> <NUM> the <STR> you may ,1.0,0.576001466016693,10
For more details on use please refer to ,1.0,0.5751676631690947,11
a copy of the License at ,1.0,0.5669677305058803,12
Name of the network topology to be deployed by NOS ,0.0,0.5359211330800091,13
Enable the use of eventlet ' s db_pool MySQL The flags sql_min_pool_size ,0.0,0.5071033150688593,14
to the Network Operating System by PLUMgrid called NOS ,1.0,0.46277800706041133,15
These are the admin credentials to manage control ,0.0,0.4146804016396506,16
This line should be pointing to the NOS server ,1.0,0.3809073763332383,17
context session begin subtransactions = ,1.0,0.3565992485323769,18
This line MUST be changed to actually run the plugin ,1.0,0.3500805554990395,19
Minimum number of SQL connections to keep a pool ,0.0,0.3428358471214082,20
Maximum number of SQL connections to keep a pool ,0.0,0.3428358471214082,21
http / / wiki openstack org / plumgrid - quantum ,1.0,0.3360982225969075,22
subnet_details = self _get_subnet context subnet [ <STR> ] ,1.0,0.31559967422691165,23
tenant_id = self _get_tenant_id_for_create context network [ <STR> ] ,1.0,0.31534862500860433,24
tenant_id = self _get_tenant_id_for_create context ,1.0,0.3000059350159285,25
create_port self context port ,1.0,0.284612329095206,26
quantum openstack common jsonutils json ,1.0,0.27013713857469573,27
create_subnet self context subnet ,1.0,0.2616634177470743,28
QuantumPluginPLUMgridV<NUM> self create_port context ,1.0,0.2614904970939101,29
context subnet ,1.0,0.2550898825242566,30
context subnet_id subnet ,1.0,0.2550898825242566,31
update_subnet self context subnet_id subnet ,1.0,0.2550898825242566,32
QuantumPluginPLUMgridV<NUM> self get_network context net_id ,1.0,0.2526842264705222,33
Snippets needed by the PLUMgrid Plugin ,1.0,0.2418058593848492,34
